prefecture,date,positive,death,mobility,gdp,population
Aichi,21936,0,0,,551008.81,7537000
Aichi,21943,2,0,,551486.25,7537000
Aichi,21950,0,0,,554350.81,7537000
Aichi,21957,2,0,2,554350.81,7537000
Aichi,21964,11,0,-.75,554350.81,7537000
Aichi,21971,14,0,-2.75,554350.81,7537000
Aichi,21978,40,0,-6.75,531787,7537000
Aichi,21985,52,11,-5.5,531787,7537000
Aichi,21992,20,5,-2.25,531787,7537000
Aichi,21999,23,3,-1.75,531787,7537000
Aichi,22006,57,0,-10.5,510162.03,7537000
Aichi,22013,104,4,-8.75,493943.31,7537000
Aichi,22020,74,2,-23.5,493943.31,7537000
Aichi,22027,77,6,-26.25,493943.31,7537000
Aichi,22034,14,3,-24.25,491961.38,7537000
Aichi,22041,11,0,-28.25,487006.5,7537000
Aichi,22048,8,0,-21.5,487006.5,7537000
Aichi,22055,1,0,-18,487006.5,7537000
Aichi,22062,1,0,-14,487006.5,7537000
Aichi,22069,2,0,-11.5,516091.78,7537000
Aichi,22076,6,0,-15.75,520939.31,7537000
Aichi,22083,7,0,-10.25,520939.31,7537000
Aichi,22090,0,0,-8.25,520939.31,7537000
Aichi,22097,2,0,-13.5,521791.72,7537000
Aichi,22104,6,0,-16,522431,7537000
Aichi,22111,88,0,-15,522431,7537000
Aichi,22118,398,1,-12.5,522431,7537000
Aichi,22125,996,0,-12.5,522849.81,7537000
Aichi,22132,1048,2,-13,525362.63,7537000
Aichi,22139,654,6,-17,525362.63,7537000
Aichi,22146,482,11,-15.75,525362.63,7537000
Aichi,22153,321,10,-14.25,525362.63,7537000
Aichi,22160,215,9,-14.5,531266,7537000
Aichi,22167,194,2,-14.75,533627.38,7537000
Aichi,22174,206,4,-7.5,533627.38,7537000
Aichi,22181,171,4,-9,533627.38,7537000
Aichi,22188,178,3,-7.25,539332.81,7537000
Aichi,22195,106,4,-11.5,546940.13,7537000
Aichi,22202,139,1,-6.5,546940.13,7537000
Aichi,22209,189,1,-6,546940.13,7537000
Aichi,22216,374,4,-6.75,546940.13,7537000
Aichi,22223,504,1,-7.75,549846.19,7537000
Aichi,22230,814,3,-7.5,549846.19,7537000
Aichi,22237,1076,5,-7.5,549846.19,7537000
Aichi,22244,1175,10,-9,549846.19,7537000
Aichi,22251,1308,14,-9.75,549846.19,7537000
Aichi,22258,1369,14,-10,,7537000
Aichi,22265,1446,15,-13.25,,7537000
Aichi,22272,1481,36,-12.75,,7537000
Aichi,22279,1457,27,-33.25,,7537000
Aichi,22286,2172,45,-18.25,,7537000
Akita,21936,0,0,,551008.81,981000
Akita,21943,0,0,,551486.25,981000
Akita,21950,0,0,,554350.81,981000
Akita,21957,0,0,14,554350.81,981000
Akita,21964,0,0,.5,554350.81,981000
Akita,21971,0,0,1.5,554350.81,981000
Akita,21978,2,0,-8,531787,981000
Akita,21985,0,0,-3,531787,981000
Akita,21992,0,0,-3,531787,981000
Akita,21999,2,0,2.25,531787,981000
Akita,22006,7,0,-2.5,510162.03,981000
Akita,22013,4,0,-8.25,493943.31,981000
Akita,22020,1,0,-6,493943.31,981000
Akita,22027,0,0,-11.75,493943.31,981000
Akita,22034,0,0,-12,491961.38,981000
Akita,22041,0,0,-3,487006.5,981000
Akita,22048,0,0,.75,487006.5,981000
Akita,22055,0,0,-5,487006.5,981000
Akita,22062,0,0,6.75,487006.5,981000
Akita,22069,0,0,6.5,516091.78,981000
Akita,22076,0,0,12.25,520939.31,981000
