month,positive,death,mobility,gdp,service,manufacturing
Jan-20,3,0,,551008.81,101.9,99.800003
Jan-20,8,0,,551963.69,101.7,99.714287
Feb-20,4,0,,554350.81,101.2,99.5
Feb-20,30,1,-5.625,554350.81,101.2,99.5
Feb-20,83,0,.5,554350.81,101.2,99.5
Feb-20,110,4,-4,551127.44,100.64285,98.971428
Mar-20,233,1,-10,531787,97.300003,95.800003
Mar-20,322,16,-4.5,531787,97.300003,95.800003
Mar-20,263,14,-1,531787,97.300003,95.800003
Mar-20,775,16,-2.75,531787,97.300003,95.800003
Apr-20,1862,18,-10,504755.78,91.728569,89.085716
Apr-20,3724,28,-17.25,493943.31,89.5,86.400002
Apr-20,3488,63,-24.25,493943.31,89.5,86.400002
Apr-20,2680,187,-29.75,493943.31,89.5,86.400002
Apr-20,1671,144,-27.75,490970.41,88.171432,83.099998
May-20,764,129,-28.5,487006.5,86.400002,78.699997
May-20,423,128,-24.75,487006.5,86.400002,78.699997
May-20,242,81,-24.5,487006.5,86.400002,78.699997
May-20,287,62,-18,487006.5,86.400002,78.699997
Jun-20,276,24,-14.25,520939.31,94.199997,80.199997
Jun-20,290,9,-16.5,520939.31,94.199997,80.199997
Jun-20,381,28,-10,520939.31,94.199997,80.199997
Jun-20,559,18,-12.75,520939.31,94.199997,80.199997
Jul-20,1273,5,-13.75,522004.81,94.271431,85.199997
Jul-20,2119,5,-16,522431,94.300003,87.199997
Jul-20,3378,3,-15.25,522431,94.300003,87.199997
Jul-20,5177,11,-12,522431,94.300003,87.199997
Jul-20,8521,16,-12.5,523268.59,94.528572,87.457138
Aug-20,9604,35,-10.75,525362.63,95.099998,88.099998
Aug-20,7281,52,-11.25,525362.63,95.099998,88.099998
Aug-20,6556,82,-14.25,525362.63,95.099998,88.099998
Aug-20,5275,98,-13.5,525362.63,95.099998,88.099998
Sep-20,3922,84,-14.75,532446.69,96.985718,91.014282
Sep-20,3737,79,-12.25,533627.38,97.300003,91.5
Sep-20,3454,58,-7.5,533627.38,97.300003,91.5
Sep-20,3008,48,-13,533627.38,97.300003,91.5
Oct-20,3514,51,-7.75,541234.69,97.871429,93.614281
Oct-20,3590,30,-10.5,546940.13,98.300003,95.199997
Oct-20,3690,45,-8,546940.13,98.300003,95.199997
Oct-20,3909,44,-5.5,546940.13,98.300003,95.199997
Oct-20,4821,56,-5.25,547355.25,98.300003,95.199997
Nov-20,6383,44,-8.25,549846.19,,95.199997
Nov-20,10058,67,-7.75,549846.19,,95.199997
Nov-20,14272,96,-7.5,549846.19,,95.199997
Nov-20,14384,138,-10.25,549846.19,,95.199997
Dec-20,15295,216,-12.25,549846.19,,95.199997
Dec-20,17566,250,-11.75,,,
Dec-20,18455,315,-14.5,,,
Dec-20,21859,352,-13.5,,,
Dec-20,23423,347,-34.75,,,
Jan-21,42882,445,-20.625,,,
