prefecture,date,positive,death,mobility,gdp,population
Aichi,21937,1,0,,100.0000048654191,7537000
Aichi,21944,1,0,,99.60035111029408,7537000
Aichi,21951,0,0,,98.6012167224816,7537000
Aichi,21958,3,0,-7,98.6012167224816,7537000
Aichi,21965,12,0,-.75,98.6012167224816,7537000
Aichi,21972,15,0,-3.5,98.05975409099561,7537000
Aichi,21979,48,1,-7.75,94.81097830207976,7537000
Aichi,21986,41,11,-4.5,94.81097830207976,7537000
Aichi,21993,22,4,-1.75,94.81097830207976,7537000
Aichi,22000,24,3,-4,94.81097830207976,7537000
Aichi,22007,61,1,-5.5,86.18521319190231,7537000
Aichi,22014,99,4,-8.75,82.73490714783132,7537000
Aichi,22021,82,1,-20.75,82.73490714783132,7537000
Aichi,22028,68,6,-27.5,82.73490714783132,7537000
Aichi,22035,15,3,-24.5,80.30392942357999,7537000
Aichi,22042,9,0,-28.25,77.06262579124486,7537000
Aichi,22049,8,0,-21.25,77.06262579124486,7537000
Aichi,22056,1,0,-17.75,77.06262579124486,7537000
Aichi,22063,1,0,-14,77.06262579124486,7537000
Aichi,22070,3,0,-11.5,84.55484311611455,7537000
Aichi,22077,5,0,-16.5,84.55484311611455,7537000
Aichi,22084,7,0,-8,84.55484311611455,7537000
Aichi,22091,0,0,-9.75,84.55484311611455,7537000
Aichi,22098,2,0,-11.75,87.47890115109463,7537000
Aichi,22105,6,0,-16,88.64852436508666,7537000
Aichi,22112,109,0,-15,88.64852436508666,7537000
Aichi,22119,460,1,-14.75,88.64852436508666,7537000
Aichi,22126,1073,0,-12,89.11651237444718,7537000
Aichi,22133,1018,2,-13,90.28648239784853,7537000
Aichi,22140,607,7,-17,90.28648239784853,7537000
Aichi,22147,449,13,-15.75,90.28648239784853,7537000
Aichi,22154,307,8,-14.25,90.28648239784853,7537000
Aichi,22161,206,9,-14.75,93.14897771976931,7537000
Aichi,22168,200,2,-14.5,93.62606027342278,7537000
Aichi,22175,206,5,-7,93.62606027342278,7537000
Aichi,22182,187,2,-10.25,93.62606027342278,7537000
Aichi,22189,147,3,-7.5,95.22199310696814,7537000
Aichi,22196,102,5,-11.5,96.41894273212712,7537000
Aichi,22203,146,0,-6.5,96.41894273212712,7537000
Aichi,22210,184,1,-5.75,96.41894273212712,7537000
Aichi,22217,406,4,-6.75,96.31702950107065,7537000
Aichi,22224,537,2,-8.25,95.70555011473174,7537000
Aichi,22231,835,2,-7.25,95.70555011473174,7537000
Aichi,22238,1118,6,-7.75,95.70555011473174,7537000
Aichi,22245,1186,10,-9,95.70555011473174,7537000
Aichi,22252,1323,16,-9.75,95.70555011473174,7537000
Aichi,22259,1380,12,-10.25,,7537000
Aichi,22266,1425,19,-12.75,,7537000
Aichi,22273,1537,32,-12.75,,7537000
Aichi,22280,1426,32,-35.5,,7537000
Aichi,22287,2330,48,-19.5,,7537000
Aichi,22294,1854,48,-19,,7537000
Aichi,22301,1569,41,-21.75,,7537000
Aichi,22308,1186,36,-20,,7537000
Aichi,22315,674,50,-21.25,,7537000
Aichi,22322,510,28,-18.875,,7537000
Akita,21937,0,0,,100.0000004961705,981000
Akita,21944,0,0,,99.9801235706075,981000
Akita,21951,0,0,,99.93043125669988,981000
Akita,21958,0,0,4.875,99.93043125669988,981000
Akita,21965,0,0,.5,99.93043125669988,981000
Akita,21972,0,0,1.75,99.25018475662148,981000
Akita,21979,2,0,-7.25,95.16870575615107,981000
