prefecture,year,month,positive,death,population,gdo,gdp,mobility,credit_all,credit_service,pos,travel,eventticket,restaurant_info,joboffer,event_info,travel_info,movie_info
Aichi,2020,1,2,0,7537000,102.13998,101.5884730154671,,,,,,,,,,,
Aichi,2020,2,27,0,7537000,100.61888,100.1363552769447,-1.5,,,,,,,,,,
Aichi,2020,3,149,19,7537000,94.914566,96.24848695975516,-5.75,,,,,,,,,,
Aichi,2020,4,309,14,7537000,87.272331,83.92696578797309,-20.625,,,,,,,,,,
Aichi,2020,5,24,1,7537000,82.387436,78.1328903799933,-20.25,,,,,,,,,,
Aichi,2020,6,17,0,7537000,88.432259,85.79453979522894,-10.75,,,,,,,,,,
Aichi,2020,7,1307,1,7537000,90.969147,89.97009290096234,-12.25,,,,,,,,,,
Aichi,2020,8,2764,30,7537000,93.424889,91.62984992580505,-15.25,,,,,,,,,,
Aichi,2020,9,830,21,7537000,95.162636,95.05623195856167,-10.625,,,,,,,,,,
Aichi,2020,10,864,10,7537000,97.272003,97.87648956917323,-7,,,,,,,,,,
Aichi,2020,11,3832,23,7537000,96.476723,97.10552637980618,-8.125,,,,,,,,,,
Aichi,2020,12,6449,95,7537000,95.808182,95.86572057922693,-12.5,,,,,,,,,,
Aichi,2021,1,7475,186,7537000,,96.49885501036805,-21,,,,,,,,,,
Aichi,2021,2,1841,118,7537000,,,-18.125,,,,,,,,,,
Aichi,2021,3,856,52,7537000,,,-13.5,,,,,,,,,,
Akita,2020,1,0,0,981000,104.33128,101.0612293425268,,,,,,,,,,,
Akita,2020,2,0,0,981000,102.93755,100.9654364992385,1,,,,,,,,,,
Akita,2020,3,6,0,981000,98.515198,96.10416042681587,-3.25,,,,,,,,,,
Akita,2020,4,10,0,981000,93.041519,88.82339476730975,-7.875,,,,,,,,,,
Akita,2020,5,0,0,981000,90.637047,85.70973773364405,1.25,,,,,,,,,,
Akita,2020,6,0,0,981000,95.352982,92.86458764298641,9.875,,,,,,,,,,
Akita,2020,7,2,0,981000,95.291679,93.16604712802942,9.25,,,,,,,,,,
Akita,2020,8,31,0,981000,96.125076,94.29860306377482,15.5,,,,,,,,,,
Akita,2020,9,4,0,981000,97.80233,96.53171930124977,15.875,,,,,,,,,,
Akita,2020,10,10,0,981000,98.910797,97.97980960355837,19.5,,,,,,,,,,
Akita,2020,11,27,1,981000,98.813423,97.47898629874122,9.875,,,,,,,,,,
Akita,2020,12,50,0,981000,98.44455,96.50467152983387,-3,,,,,,,,,,
Akita,2021,1,121,0,981000,,96.63128863477991,-14.75,,,,,,,,,,
Akita,2021,2,8,5,981000,,,-12.25,,,,,,,,,,
Akita,2021,3,8,0,981000,,,-5.125,,,,,,,,,,
Aomori,2020,1,0,0,1263000,102.5151,100.8315503799881,,,,,,,,,,,
Aomori,2020,2,0,0,1263000,101.23714,100.6271425399677,-.5,,,,,,,,,,
Aomori,2020,3,8,0,1263000,98.117966,96.74124061095714,-3,,,,,,,,,,
Aomori,2020,4,18,0,1263000,94.577774,89.73206953110292,-13.625,,,,,,,,,,
Aomori,2020,5,1,1,1263000,92.985039,86.98356361598731,-7.75,,,,,,,,,,
Aomori,2020,6,0,0,1263000,97.250992,93.80951408190272,.125,,,,,,,,,,
Aomori,2020,7,5,0,1263000,96.78392,94.12317261191936,3.75,,,,,,,,,,
Aomori,2020,8,3,0,1263000,98.340652,95.24344259998966,12,,,,,,,,,,
Aomori,2020,9,1,0,1263000,99.092751,97.18245576354126,7.625,,,,,,,,,,
Aomori,2020,10,191,3,1263000,100.61334,98.62388909561245,9.75,,,,,,,,,,
Aomori,2020,11,68,2,1263000,100.48196,97.87286644006005,.125,,,,,,,,,,
Aomori,2020,12,187,2,1263000,99.961349,96.81799760876174,-9,,,,,,,,,,
Aomori,2021,1,235,5,1263000,,96.7606025194597,-19.5,,,,,,,,,,
Aomori,2021,2,99,7,1263000,,,-17.5,,,,,,,,,,
Aomori,2021,3,80,0,1263000,,,-11.75,,,,,,,,,,
Chiba,2020,1,1,0,6255000,100.69497,101.0226477908561,,-3,-2,9,-2,-64.7483105,-3.277171475490098,8.583333,-8.866149598370725,7.856371665993152,5.954023907709874
Chiba,2020,2,12,0,6255000,99.309326,100.5661952700069,-1.5,-2.5,-2.5,4.7037039,10,64.6714326,-6.636040999908787,9.4814816,-8.208554738339181,6.411936894762777,-2.738805302966981
Chiba,2020,3,158,1,6255000,95.468086,95.09396981716965,-3.75,-7,-8.5,1.25,-94,-98.9268386,-20.00516373657396,6.75,-11.43078343578233,-10.0970199578034,-11.03843873301389
Chiba,2020,4,663,31,6255000,88.655472,86.72144245180306,-23,-18,-26.5,5.2666669,-99,-99.80998080000001,-62.03712135731386,-14.433333,-67.6105360206911,-43.83823176569684,-18.75811825585632
Chiba,2020,5,64,13,6255000,85.516945,83.95577027555041,-24.25,-14,-22,2.5,-99,-99.9871667,-50.17671809801767,-31.25,-78.72828882336799,-50.47489548255601,-12.71331845300374
Chiba,2020,6,59,0,6255000,92.700928,92.12276526991096,-12.625,-7,-12.5,1.5,-96,-98.32819240000001,-25.65322110783597,-29.75,-61.58167433506643,-27.55139659314693,-29.73513725377362
Chiba,2020,7,689,4,6255000,92.634247,92.67864297268348,-14.25,-3.5,-6.5,1.2903225,-88,-98.3251801,-12.95469753329607,-28.548388,-54.18347066481486,-3.61347694630367,-45.66223067382226
Chiba,2020,8,1390,13,6255000,94.063751,93.40737089206227,-12.75,-5,-11,1.25,-66,-96.23675950000001,-17.75229128367727,-28.75,-67.31342720384585,-15.77315625757457,-32.05670905174982
Chiba,2020,9,845,9,6255000,95.911324,95.38738303037867,-11.25,-6,-7,-11.962963,-47,-93.92283999999999,2.22101375324072,-26.666666,-55.43347606272302,-1.62210469297608,-.141452043491
Chiba,2020,10,1138,9,6255000,97.001312,97.55516861077817,-9.25,1,-.5,9.9354839,1,-94.50742769999999,1.659899092412068,-22.354839,-65.15151924525493,49.88679182655941,15.01660509173411
