year,month,Tokyo',Kanagawa',Saitama',Chiba',Osaka'
2020,1,100.8275,101.56631,101.5211,100.69497,101.68498
2020,2,99.075607,100.25696,100.56383,99.309326,100.18882
2020,3,95.844955,96.373276,97.138374,95.468086,97.240356
2020,4,88.362099,89.488556,90.386124,88.655472,91.432373
2020,5,84.210999,85.534271,86.631126,85.516945,88.222084
2020,6,91.703262,92.567848,93.388115,92.700928,94.595757
2020,7,92.380981,93.680489,94.054352,92.634247,95.801903
2020,8,93.555031,95.167793,95.582588,94.063751,96.978874
2020,9,94.938042,96.664841,97.707962,95.911324,98.25235
2020,10,96.968697,98.463387,99.128487,97.001312,99.774246
2020,11,97.700516,98.082619,99.551292,97.008171,99.411758
2020,12,96.509171,97.460747,98.262787,95.988609,99.143585
2021,1,94.03652492,95.00107969,95.85306173,93.62934769,97.31708192
2021,2,93.39837748,94.73209749,95.22322797,93.21090583,96.69218998
2021,3,93.82538808,95.17483812,95.67405807,93.8125461,97.18005565
