prefecture,year,month,positive,death,population,gdo,gdp,mobility,credit_all,credit_service,pos,travel,eventticket,restaurant_info,joboffer,event_info,travel_info,movie_info
Aichi,2020,1,2,0,7537000,102.13998,101.5884730154672,,1,,12.083333,1,-45.3933381,-.8344930746186133,2.5,-14.03224660232499,-.4944380228020616,-5.627195495883938
Aichi,2020,2,27,0,7537000,100.61888,100.1363552769447,-1.5,-4,,9.4814816,1,155.0531743,-4.906899310818397,10.518518,-13.09135261290396,-3.356645147929209,-3.468440403201484
Aichi,2020,3,149,19,7537000,94.914566,96.24848695975517,-5.75,-7.5,,7.25,-81,-87.5071408,-22.81122737312437,.5,-13.22647053541716,-12.4244400224935,11.05888212189396
Aichi,2020,4,309,14,7537000,87.272331,83.92696578797309,-20.625,-16.5,,8.666667,-97,-99.67513719999999,-62.83226903034851,-17.4,-64.31063965911861,-47.46454155058575,21.59221466591613
Aichi,2020,5,24,1,7537000,82.387436,78.1328903799933,-20.25,-12.5,,7.5,-98,-99.9512478,-52.18157851279336,-31,-77.93049628714429,-52.13233639443155,17.29828676424261
Aichi,2020,6,17,0,7537000,88.432259,85.79453979522897,-10.75,-7,,5.5,-86,-99.4395712,-26.83961405203405,-32.5,-67.51580032707672,-33.41066950708581,-.8219139532505351
Aichi,2020,7,1307,1,7537000,90.969147,89.97009290096234,-12.25,-3,,7.483871,-75,-96.90921849999999,-21.17040734345037,-31.225807,-60.82043079189336,-23.43258089475118,-14.31400744340146
Aichi,2020,8,2764,30,7537000,93.424889,91.62984992580503,-15.25,-6.5,,1.5,-59,-94.99196430000001,-32.75752359817654,-30.25,-65.25839753211814,-36.83637624515659,-3.076853008488289
Aichi,2020,9,830,21,7537000,95.162636,95.05623195856155,-10.625,-6,,-4.2592592,-155,-94.3312574,-22.63825726282995,-33.703705,-53.20692635645717,-19.26390822929383,4.939687308896277
Aichi,2020,10,864,10,7537000,97.272003,97.87648956917324,-7,2,,8.0645161,67,-81.5505229,-19.79619734800258,-30.709677,-66.07917522330112,31.50562995718251,11.55006585176988
Aichi,2020,11,3832,23,7537000,96.476723,97.10552637980616,-8.125,-3.5,,1,81,-54.0781493,-28.66521289397895,-26.5,-23.80938643473491,19.6839025720596,22.42065445291239
Aichi,2020,12,6449,95,7537000,95.808182,95.86572057922695,-12.5,-6.5,,4.7741938,-6,-75.9018452,-41.12532899476976,-29.580645,-14.88757062390416,-3.732742926831789,16.83363172476591
Aichi,2021,1,7475,186,7537000,,96.49885501036805,-39.25,-10.5,,9.25,-74,-73.502144,-44.15380855599885,-12.5,-12.07493150258784,-39.70991042679133,3.004787536268698
Aichi,2021,2,1841,118,7537000,,,,,,0,,,-46.42003038940106,-13.5,-51.81185169778733,-51.00367333704119,4.770854108047756
Aichi,2021,3,1311,57,7537000,,,,,,-7,,,-37.77272532720264,-16,-31.46726356399259,-33.13588085166655,25.80684201280015
Akita,2020,1,0,0,981000,104.33128,101.0612293425268,,-2.5,,4.5833335,-5,-57.260274,10.1420426693995,-4.75,-8.602894876288028,10.68540806095878,4.337961290670911
Akita,2020,2,0,0,981000,102.93755,100.9654364992385,1,1.5,,-1.5555556,-9,24.2105263,-.4370446429654771,-6.8518519,3.928151669988136,1.555487633013975,-.5317707946130447
Akita,2020,3,6,0,981000,98.515198,96.10416042681587,-3.25,-1,,-2.25,-59,-99.6328029,-17.15135203788164,-3.5,3.011350342853786,-17.00451743444968,-10.34581278007564
Akita,2020,4,10,0,981000,93.041519,88.82339476730975,-7.875,-1,,2.7333333,-96,-100,-57.85273768584804,-8.1333332,-60.61583238303272,-45.0592979268995,-21.88855142088734
Akita,2020,5,0,0,981000,90.637047,85.70973773364408,1.25,-1,,1.75,-98,-99.76580800000001,-42.06804800817589,-18.5,-72.77119058422828,-44.87984545196599,-17.02917735400825
Akita,2020,6,0,0,981000,95.352982,92.86458764298639,9.875,-1.5,,2.75,-84,-100,-20.26968774450734,-17.75,-56.82897424819908,29.23091527202759,-36.0823048412061
Akita,2020,7,2,0,981000,95.291679,93.16604712802959,9.25,6,,1.032258,-53,-100,-2.859159148399032,-16.483871,-61.72199258282692,23.36200174852683,-44.96815870834399
Akita,2020,8,31,0,981000,96.125076,94.29860306377475,15.5,1.5,,-2.75,-57,-99.6632997,-27.52482416707749,-2.75,-70.5925266326138,-7.461180232607806,-35.84652637357188
Akita,2020,9,4,0,981000,97.80233,96.53171930124985,15.875,-1.5,,-4.5925927,0,-100,-1.617545507819533,-8.9629631,-65.34602067965963,-2.404581054823702,-5.332005644742046
Akita,2020,10,10,0,981000,98.910797,97.97980960355839,19.5,3,,11.16129,29,-96.3695038,.6753332871986908,-8.5161295,-60.39367822029754,42.80323941380836,22.77086254749699
Akita,2020,11,27,1,981000,98.813423,97.47898629874121,9.875,2.5,,2.5,148,-93.8256659,-.2689341073868223,3.5,-20.85436699195052,32.52558580222261,23.74945546560275
Akita,2020,12,50,0,981000,98.44455,96.50467152983387,-2.25,-5.5,,5.483871,132,-86.4238411,-25.84913827299646,-.74193549,-13.9084421648251,5.772391091910552,-12.94430484944414
Akita,2021,1,121,0,981000,,96.63128863477991,3.5,-1,,10.25,-24,-99.0410959,-37.72315552117824,3,-24.45594030040824,-17.28732160658673,-22.31693715927704
Akita,2021,2,8,5,981000,,,,,,5.25,,,-25.48249071632315,3.5,-48.8166192791869,-10.27736756286892,-6.719618060206478
Akita,2021,3,14,0,981000,,,,,,4,,,-26.1805898767647,9,-23.74397830294064,16.00631797712115,22.08996617451385
