prefecture,year,month,positive,death,population,gdo,gdp,mobility,credit_all,credit_service,pos,travel,eventticket,restaurant_info,joboffer,event_info,travel_info,movie_info,tdbtankan_all,tdbtankan_nourinsuisan,tdbtankan_kinyuu,tdbtankan_fudosan,tdbtankan_seizou,tdbtankan_oroshi,tdbtankan_kouri,tdbtankan_unyusouko,tdbtankan_survice,tdbtankan_other,departsuper,conveni,kaden,drugstore
Aichi,2020,1,2,0,7537000,102.04228,100.0000048738966,,1,0,12.083333,1,-45.3933381,-.8344930746186132,2.5,-14.03224660232499,-.4944380228020615,1.196148038333333,,,,,,,,,,,.2,.3,-4.7,9.199999999999999
Aichi,2020,2,27,0,7537000,100.61578,98.7527158218668,-1.5,-4,-5,9.4814816,1,-66.45023945,-4.906899310818397,10.518518,-13.09135261290396,-3.35664514792921,-5.491297659259258,36.9,,50,40,33.7,31.8,36.5,34.9,44.8,41.7,2.4,1.7,3.2,24.4
Aichi,2020,3,149,19,7537000,94.948181,94.97481338093016,-5.75,-7.5,-9,7.25,-81,-87.5071408,-22.81122737312437,.5,-13.22647053541716,-12.4244400224935,-15.47691204999999,30.4,,27.8,31,29.6,26.4,21.3,31,32.7,25,-9,-6.4,-12.6,11.4
Aichi,2020,4,309,14,7537000,87.189751,82.87596229836849,-20.625,-16.5,-25,8.666667,-97,-99.67513719999999,-62.83226903034851,-17.4,-64.31063965911861,-47.46454155058575,-27.5735423,22.5,,27.8,24.7,20.6,18.5,10.5,23.7,25.3,50,-18.2,-10.7,-10.1,18.2
Aichi,2020,5,24,1,7537000,82.514038,77.5633561307945,-20.25,-12.5,-20.5,7.5,-98,-99.9512478,-52.18157851279336,-31,-77.93049628714429,-52.13233639443155,-25.15997100000001,22.8,,22.2,31,22.7,18.7,24.7,21.4,25.3,50,-10.5,-9.1,6.7,14.6
Aichi,2020,6,17,0,7537000,88.352226,84.71979417421294,-10.75,-7,-10.5,5.5,-86,-99.4395712,-26.83961405203405,-32.5,-67.51580032707672,-33.41066950708581,-41.62084125,25.2,,33.3,32.5,23.5,21.7,30.5,20.1,28.4,16.7,-1.3,-6.9,17.1,7.2
Aichi,2020,7,1307,1,7537000,91.014435,88.96194344244036,-12.25,-3,-4.5,7.483871,-75,-96.90921849999999,-21.17040734345037,-31.225807,-60.82043079189336,-23.43258089475118,-52.13969974193549,27.3,,27.8,29.9,25.9,25.3,26.4,25.4,32,50,-1.3,-8.800000000000001,8,8.199999999999999
Aichi,2020,8,2764,30,7537000,93.449471,90.56924741753556,-15.25,-6.5,-12,1.5,-59,-94.99196430000001,-32.75752359817654,-30.25,-65.25839753211814,-36.83637624515659,-42.86673925,27.7,,33.3,33.3,29.6,23.6,31.9,26.1,30.4,33.3,-.6,-5.9,3.7,15.3
Aichi,2020,9,830,21,7537000,95.083427,93.73535403036887,-10.625,-6,-6.5,-4.2592592,-155,-94.3312574,-22.63825726282995,-33.703705,-53.20692635645717,-19.26390822929383,-16.26670593333334,30.4,,27.8,34.1,30.8,26,27.3,28.2,33.2,50,-13.8,-4.5,-32.9,-8.4
Aichi,2020,10,864,10,7537000,97.099701,96.05558249085868,-7,2,-.5,8.0645161,67,-81.5505229,-19.79619734800258,-30.709677,-66.07917522330112,31.50562995718251,7.144235144516128,33.1,,41.7,33.3,35.8,31,33.3,31.6,35.8,25,5.4,.3,28.4,8.6
Aichi,2020,11,3832,23,7537000,96.448311,95.57477827776457,-8.125,-3.5,-7,1,81,-54.0781493,-28.66521289397895,-26.5,-23.80938643473491,19.6839025720596,9.2815257,36.1,,33.3,35.3,35.8,33.6,30.6,36.1,35.9,50,-2.2,-5.7,23.5,7.9
Aichi,2020,12,6449,95,7537000,95.879707,94.5514675533683,-12.5,-6.5,-12.5,4.7741938,-6,-75.9018452,-41.12532899476976,-29.580645,-14.88757062390416,-3.732742926831789,-12.4284024967742,35.6,,44.4,34.1,35.3,32.5,30.6,41,36.2,50,-2.3,-5.2,15.1,9.1
Aichi,2021,1,7475,186,7537000,,95.255692713291,-21,-9,-15.5,11.5,-74,-73.502144,-44.15380855599884,-12.5,-12.07493150258785,-39.70991042679133,-10.9978524,34.9,,50,31.7,37.7,32.8,28.8,34.3,37,50,-5.6,-4.7,12.9,9.300000000000001
Aichi,2021,2,1841,118,7537000,,93.72330060852896,-18.125,-12,-17,5.25,-76,-64,-46.42003038940106,-13.5,-51.81185169778733,-51.00367333704117,-5.48253765,37.1,,44.4,40,,34.7,29.7,40.1,36.5,16.7,-5,-7.5,1.4,-4.6
Aichi,2021,3,1505,65,7537000,,,-11.5,,,3.5,,-69,-37.63636266360133,-19.25,-14.9836317819963,-27.56794042583327,26.323998945,,,,,,,,,,,,,,
Aichi,2021,4,6082,46,7537000,,,-10,,,5.6111112,,,-39.55555555555556,-19.181818,,,,,,,,,,,,,,,,,
Aichi,2021,5,748,4,7537000,,,,,,,,,,,,,,,,,,,,,,,,,,,
Akita,2020,1,0,0,981000,102.04228,100.0000004717201,,-2.5,-1,4.5833335,-5,-57.260274,10.1420426693995,-4.75,-8.602894876288028,10.68540806095878,4.33796129067091,,,,,,,,,,,-3.1,-1.8,4.9,9.1
Akita,2020,2,0,0,981000,100.69481,99.86493553818416,1,1.5,-1,-1.5555556,-9,24.2105263,-.437044642965477,-6.8518519,3.928151669988137,1.555487633013975,-.5317707946130447,35.7,33.3,50,38.9,36.9,34.1,28.6,58,34.7,16.7,2.1,1.2,7.4,20.4
Akita,2020,3,6,0,981000,96.524422,95.39107735722713,-3.25,-1,-1.5,-2.25,-59,-99.6328029,-17.15135203788164,-3.5,3.011350342853786,-17.00451743444968,-10.34581278007564,31.5,37.5,50,30,28.9,30.2,27.8,,35,16.7,-3.1,-7.3,-.8,19.5
Akita,2020,4,10,0,981000,91.02626,88.22719590424681,-7.875,-1,2.5,2.7333333,-96,-100,-57.85273768584804,-8.1333332,-60.61583238303272,-45.0592979268995,-21.88855142088734,26.3,16.7,33.3,23.3,27,24.4,27.1,,25.6,16.7,-3.9,-12,4.3,15.9
Akita,2020,5,0,0,981000,88.788536,85.40701095948363,1.25,-1,-.5,1.75,-98,-99.76580800000001,-42.06804800817589,-18.5,-72.77119058422828,-44.87984545196599,-17.02917735400825,27.3,22.2,50,19.4,29.4,23.6,30.6,66.7,22.6,16.7,2.3,-10.1,24.3,7.6
Akita,2020,6,0,0,981000,93.225983,92.0104210464668,9.875,-1.5,3.5,2.75,-84,-100,-20.26968774450734,-17.75,-56.82897424819908,29.23091527202759,-36.0823048412061,30.2,22.2,50,33.3,29.6,25.4,33.3,33.3,29.8,33.3,3.2,-3.1,50.6,12.8
Akita,2020,7,2,0,981000,93.392334,92.59458166327524,9.25,6,.5,1.032258,-53,-100,-2.859159148399032,-16.483871,-61.72199258282692,23.36200174852683,-44.96815870834399,30.3,22.2,50,36.7,25.8,26.5,41.7,27.8,34.7,16.7,.1,-7.5,10.6,11.6
Akita,2020,8,31,0,981000,94.119011,93.52627805058196,15.5,1.5,-2.5,-2.75,-57,-99.6632997,-27.52482416707749,-2.75,-70.5925266326138,-7.461180232607806,-35.84652637357188,31.1,22.2,50,30,30,25,33.3,25,30.3,16.7,-1.9,-2.8,4.5,8.9
Akita,2020,9,4,0,981000,95.667717,95.52527413521345,15.875,-1.5,2.5,-4.5925927,0,-100,-1.617545507819533,-8.9629631,-65.34602067965963,-2.404581054823702,-5.332005644742046,32.4,25,50,30,24.2,32.6,35.7,50,25,16.7,-8,-2.3,-33.6,1.6
Akita,2020,10,10,0,981000,96.721413,96.60827741061996,19.5,3,1.5,11.16129,29,-96.3695038,.6753332871986908,-8.5161295,-60.39367822029754,42.80323941380836,22.77086254749699,36.4,22.2,50,36.7,28.6,33.3,36.1,66.7,34.6,16.7,7.2,-3.1,41.7,6.9
Akita,2020,11,27,1,981000,96.755936,96.38719321009118,9.875,2.5,1,2.5,148,-93.8256659,-.2689341073868223,3.5,-20.85436699195052,32.52558580222261,23.74945546560275,39.1,27.8,50,33.3,34.8,35.8,47.6,83.3,37.5,16.7,-.1,-1.7,29.8,14.3
Akita,2020,12,50,0,981000,96.567947,95.79336649700828,-3,-5.5,-4.5,5.483871,132,-86.4238411,-25.84913827299646,-.74193549,-13.9084421648251,5.772391091910552,-12.94430484944414,34.2,33.3,50,26.7,31.8,30.8,27.8,44.4,30.8,16.7,.1,-1.7,14,10.4
Akita,2021,1,121,0,981000,,95.92791700576255,-14.75,-3.5,-1.5,4.25,-24,-99.0410959,-37.72315552117825,3,-24.45594030040825,-17.28732160658673,-22.31693715927704,36.8,38.9,33.3,36.7,35.7,35.6,41.7,38.9,33.3,16.7,-1.4,-.8,1.3,7.8
