date,elderly_total,elderly_once,elderly_twice
4/12/2021,"2,884 ","2,884 ",0 
4/13/2021,"2,247 ","2,247 ",0 
4/14/2021,"2,414 ","2,414 ",0 
4/15/2021,"3,051 ","3,051 ",0 
4/16/2021,"2,490 ","2,490 ",0 
4/17/2021,"3,207 ","3,207 ",0 
4/18/2021,"5,477 ","5,477 ",0 
4/19/2021,"9,034 ","9,034 ",0 
4/20/2021,"14,014 ","14,014 ",0 
4/21/2021,"17,152 ","17,152 ",0 
4/22/2021,"15,523 ","15,523 ",0 
4/23/2021,"11,475 ","11,475 ",0 
4/24/2021,"10,798 ","10,798 ",0 
4/25/2021,"11,512 ","11,512 ",0 
4/26/2021,"17,136 ","17,136 ",0 
4/27/2021,"23,164 ","23,164 ",0 
4/28/2021,"21,649 ","21,649 ",0 
4/29/2021,"8,254 ","8,254 ",0 
4/30/2021,"16,389 ","16,389 ",0 
5/1/2021,"14,283 ","14,283 ",0 
5/2/2021,"14,274 ","14,274 ",0 
5/3/2021,"4,917 ","4,707 ",210 
5/4/2021,"5,629 ","5,187 ",442 
5/5/2021,"6,647 ","6,071 ",576 
5/6/2021,"22,292 ","20,372 ","1,920 "
5/7/2021,"18,248 ","16,630 ","1,618 "
5/8/2021,"22,849 ","21,703 ","1,146 "
5/9/2021,"34,138 ","30,724 ","3,414 "
