prefecture,date,positive,death,mobility,gdp,population,gop,Elderly_cum_total,Elderly_cum_first,Elderly_cum_second,Medical_cum_total,Medical_cum_first,Medical_cum_second,Medical_ps_total,Medical_ps_first,Medical_ps_second,Elderly_ps_total,Elderly_ps_first,Elderly_ps_second
Aichi,21937,1,0,,100.0000048738965,7537000,102.0423,,,,,,,,,,,,
Aichi,21944,1,0,,99.64363657331664,7537000,101.6347285714286,,,,,,,,,,,,
Aichi,21951,0,0,,98.75271582186687,7537000,100.6158,,,,,,,,,,,,
Aichi,21958,3,0,-7,98.75271582186687,7537000,100.6158,,,,,,,,,,,,
Aichi,21965,12,0,-.75,98.75271582186687,7537000,100.6158,,,,,,,,,,,,
Aichi,21972,15,0,-3.5,98.2130154731616,7537000,99.80614285714286,,,,,,,,,,,,
Aichi,21979,48,1,-7.75,94.97481338093009,7537000,94.94820000000001,,,,,,,,,,,,
Aichi,21986,41,11,-4.5,94.97481338093009,7537000,94.94820000000001,,,,,,,,,,,,
Aichi,21993,22,4,-1.75,94.97481338093009,7537000,94.94820000000001,,,,,,,,,,,,
Aichi,22000,24,3,-4,94.97481338093009,7537000,94.94820000000001,,,,,,,,,,,,
Aichi,22007,61,1,-5.5,86.33277689338614,7537000,89.40648571428572,,,,,,,,,,,,
Aichi,22014,99,4,-8.75,82.87596229836855,7537000,87.18980000000001,,,,,,,,,,,,
Aichi,22021,82,1,-20.75,82.87596229836855,7537000,87.18980000000001,,,,,,,,,,,,
Aichi,22028,68,6,-27.5,82.87596229836855,7537000,87.18980000000001,,,,,,,,,,,,
Aichi,22035,15,3,-24.5,80.59913108369395,7537000,85.18588571428572,,,,,,,,,,,,
Aichi,22042,9,0,-28.25,77.56335613079447,7537000,82.514,,,,,,,,,,,,
Aichi,22049,8,0,-21.25,77.56335613079447,7537000,82.514,,,,,,,,,,,,
Aichi,22056,1,0,-17.75,77.56335613079447,7537000,82.514,,,,,,,,,,,,
Aichi,22063,1,0,-14,77.56335613079447,7537000,82.514,,,,,,,,,,,,
Aichi,22070,3,0,-11.5,84.71979417421299,7537000,88.35220000000001,,,,,,,,,,,,
Aichi,22077,5,0,-16.5,84.71979417421299,7537000,88.35220000000001,,,,,,,,,,,,
Aichi,22084,7,0,-8,84.71979417421299,7537000,88.35220000000001,,,,,,,,,,,,
Aichi,22091,0,0,-9.75,84.71979417421299,7537000,88.35220000000001,,,,,,,,,,,,
Aichi,22098,2,0,-11.75,87.74990079437539,7537000,90.25377142857143,,,,,,,,,,,,
Aichi,22105,6,0,-16,88.96194344244034,7537000,91.01440000000001,,,,,,,,,,,,
Aichi,22112,109,0,-15,88.96194344244034,7537000,91.01440000000001,,,,,,,,,,,,
Aichi,22119,460,1,-14.75,88.96194344244034,7537000,91.01440000000001,,,,,,,,,,,,
Aichi,22126,1073,0,-12,89.4211731496104,7537000,91.71014285714286,,,,,,,,,,,,
Aichi,22133,1018,2,-13,90.56924741753552,7537000,93.44950000000001,,,,,,,,,,,,
Aichi,22140,607,7,-17,90.56924741753552,7537000,93.44950000000001,,,,,,,,,,,,
Aichi,22147,449,13,-15.75,90.56924741753552,7537000,93.44950000000001,,,,,,,,,,,,
Aichi,22154,307,8,-14.25,90.56924741753552,7537000,93.44950000000001,,,,,,,,,,,,
Aichi,22161,206,9,-14.75,93.28305308567839,7537000,94.84998571428571,,,,,,,,,,,,
Aichi,22168,200,2,-14.5,93.73535403036887,7537000,95.0834,,,,,,,,,,,,
Aichi,22175,206,5,-7,93.73535403036887,7537000,95.0834,,,,,,,,,,,,
Aichi,22182,187,2,-10.25,93.73535403036887,7537000,95.0834,,,,,,,,,,,,
Aichi,22189,147,3,-7.5,95.06119886493448,7537000,96.23557142857143,,,,,,,,,,,,
Aichi,22196,102,5,-11.5,96.0555824908587,7537000,97.0997,,,,,,,,,,,,
Aichi,22203,146,0,-6.5,96.0555824908587,7537000,97.0997,,,,,,,,,,,,
Aichi,22210,184,1,-5.75,96.0555824908587,7537000,97.0997,,,,,,,,,,,,
Aichi,22217,406,4,-6.75,95.98689617470241,7537000,97.00664285714286,,,,,,,,,,,,
Aichi,22224,537,2,-8.25,95.57477827776459,7537000,96.4483,,,,,,,,,,,,
Aichi,22231,834,2,-7.25,95.57477827776459,7537000,96.4483,,,,,,,,,,,,
Aichi,22238,1118,6,-7.75,95.57477827776459,7537000,96.4483,,,,,,,,,,,,
Aichi,22245,1186,10,-9,95.57477827776459,7537000,96.4483,,,,,,,,,,,,
Aichi,22252,1324,16,-9.75,94.69765479971063,7537000,95.96092857142857,,,,,,,,,,,,
Aichi,22259,1382,12,-10.25,94.5514675533683,7537000,95.87969999999999,,,,,,,,,,,,
Aichi,22266,1425,19,-12.75,94.5514675533683,7537000,95.87969999999999,,,,,,,,,,,,
Aichi,22273,1537,32,-12.75,94.5514675533683,7537000,95.87969999999999,,,,,,,,,,,,
Aichi,22280,1426,32,-35.5,94.85327833619235,7537000,95.23341428571429,,,,,,,,,,,,
Aichi,22287,2330,48,-19.5,95.25569271329107,7537000,94.37170000000002,,,,,,,,,,,,
Aichi,22294,1854,48,-19,95.25569271329107,7537000,94.37170000000002,,,,,,,,,,,,
Aichi,22301,1569,41,-21.75,95.25569271329107,7537000,94.37170000000002,,,,,,,,,,,,
Aichi,22308,1186,36,-20,95.25569271329107,7537000,94.37170000000002,,,,,,,,,,,,
Aichi,22315,674,50,-21.25,93.72330060852903,7537000,93.5838,,,,,,,,,,,,
Aichi,22322,509,28,-18.5,93.72330060852903,7537000,93.5838,,,,,,,,,,,,
Aichi,22329,367,28,-19,93.72330060852903,7537000,93.5838,,,,,,,,,,,,
Aichi,22336,291,12,-14.5,93.72330060852903,7537000,93.5838,,,,,,,,,,,,
Aichi,22343,301,23,-15.5,,7537000,95.08839999999999,,,,,,,,,,,,
Aichi,22350,288,15,-12,,7537000,95.08839999999999,,,,,,,,,,,,
Aichi,22357,267,14,-10.25,,7537000,95.08839999999999,,,,,,,,,,,,
Aichi,22364,455,5,-5.75,,7537000,95.08839999999999,,,,,,,,,,,,
Aichi,22371,655,15,-2.75,,7537000,94.96811428571426,,,,,,,,,,,,
Aichi,22378,987,14,-9.25,,7537000,94.87789999999998,,,,,,,,,,,,
Aichi,22385,1385,8,-12.25,,7537000,94.87789999999998,1190,1190,0,,,,,,,.089011893,.089011893,
Aichi,22392,1768,7,-8.75,,7537000,94.87789999999998,2171,2171,0,137063,99994,37069,.051854204,.056669749,.04218455,.029003901,.029003901,
Aichi,22399,2229,14,-14.5,,7537000,94.06481428571428,6405,6405,0,201384,155262,46122,.055586103,.060180888,.044220604,.0299404,.0299404,
Aichi,22406,2525,20,-14.25,,7537000,92.0321,12536,11570,966,232493,178287,54206,.056772381,.060516994,.047172036,.036746621,.034868196,.10358138
Aichi,22413,4022,19,-14,,7537000,92.0321,57405,55296,2109,297030,205364,91666,.057887528,.059225585,.055098701,.05850197,.06054892,.031012882
Akita,21937,0,0,,100.0000004717201,981000,102.0423,,,,,,,,,,,,
Akita,21944,0,0,,99.96141049070988,981000,101.6573,,,,,,,,,,,,
Akita,21951,0,0,,99.86493553818421,981000,100.6948,,,,,,,,,,,,
Akita,21958,0,0,4.875,99.86493553818421,981000,100.6948,,,,,,,,,,,,
Akita,21965,0,0,.5,99.86493553818421,981000,100.6948,,,,,,,,,,,,
Akita,21972,0,0,1.75,99.22581294090465,981000,100.0990314285714,,,,,,,,,,,,
Akita,21979,2,0,-7.25,95.3910773572272,981000,96.52441999999999,,,,,,,,,,,,
Akita,21986,0,0,-2.25,95.3910773572272,981000,96.52441999999999,,,,,,,,,,,,
Akita,21993,0,0,-4,95.3910773572272,981000,96.52441999999999,,,,,,,,,,,,
Akita,22000,2,0,2.25,95.3910773572272,981000,96.52441999999999,,,,,,,,,,,,
Akita,22007,7,0,-3.5,90.27401917652685,981000,92.59716285714285,,,,,,,,,,,,
Akita,22014,4,0,-6.25,88.22719590424671,981000,91.02625999999999,,,,,,,,,,,,
Akita,22021,1,0,-5.75,88.22719590424671,981000,91.02625999999999,,,,,,,,,,,,
Akita,22028,0,0,-14.5,88.22719590424671,981000,91.02625999999999,,,,,,,,,,,,
Akita,22035,0,0,-10,87.01854521363398,981000,90.06723714285714,,,,,,,,,,,,
Akita,22042,0,0,-4,85.4070109594837,981000,88.78854,,,,,,,,,,,,
Akita,22049,0,0,.75,85.4070109594837,981000,88.78854,,,,,,,,,,,,
Akita,22056,0,0,-2.25,85.4070109594837,981000,88.78854,,,,,,,,,,,,
Akita,22063,0,0,6.75,85.4070109594837,981000,88.78854,,,,,,,,,,,,
Akita,22070,0,0,6.5,92.01042104646685,981000,93.22598000000002,,,,,,,,,,,,
Akita,22077,0,0,11.75,92.01042104646685,981000,93.22598000000002,,,,,,,,,,,,
Akita,22084,0,0,10.5,92.01042104646685,981000,93.22598000000002,,,,,,,,,,,,
Akita,22091,0,0,10.75,92.01042104646685,981000,93.22598000000002,,,,,,,,,,,,
Akita,22098,0,0,6.5,92.42767862990139,981000,93.34480142857144,,,,,,,,,,,,
Akita,22105,0,0,2.5,92.59458166327522,981000,93.39233,,,,,,,,,,,,
Akita,22112,0,0,9.75,92.59458166327522,981000,93.39233,,,,,,,,,,,,
Akita,22119,2,0,18.25,92.59458166327522,981000,93.39233,,,,,,,,,,,,
Akita,22126,0,0,9.25,92.86078063107713,981000,93.59995285714287,,,,,,,,,,,,
Akita,22133,17,0,11.25,93.52627805058195,981000,94.11901,,,,,,,,,,,,
Akita,22140,7,0,21.5,93.52627805058195,981000,94.11901,,,,,,,,,,,,
Akita,22147,3,0,-5,93.52627805058195,981000,94.11901,,,,,,,,,,,,
Akita,22154,4,0,-4.6666665,93.52627805058195,981000,94.11901,,,,,,,,,,,,
Akita,22161,1,0,-5,95.23970326598042,981000,95.44647571428573,,,,,,,,,,,,
Akita,22168,0,0,14.5,95.52527413521351,981000,95.66772000000002,,,,,,,,,,,,
Akita,22175,3,0,16,95.52527413521351,981000,95.66772000000002,,,,,,,,,,,,
Akita,22182,0,0,18,95.52527413521351,981000,95.66772000000002,,,,,,,,,,,,
Akita,22189,5,0,17.5,96.14413314973152,981000,96.26982857142858,,,,,,,,,,,,
Akita,22196,1,0,20,96.60827741062,981000,96.72141000000001,,,,,,,,,,,,
Akita,22203,0,0,19.5,96.60827741062,981000,96.72141000000001,,,,,,,,,,,,
Akita,22210,2,0,20.25,96.60827741062,981000,96.72141000000001,,,,,,,,,,,,
Akita,22217,2,0,24,96.5766939534016,981000,96.72634285714285,,,,,,,,,,,,
Akita,22224,4,0,10.5,96.38719321009118,981000,96.75594,,,,,,,,,,,,
Akita,22231,6,0,10.25,96.38719321009118,981000,96.75594,,,,,,,,,,,,
Akita,22238,1,0,10.75,96.38719321009118,981000,96.75594,,,,,,,,,,,,
Akita,22245,16,1,2.75,96.38719321009118,981000,96.75594,,,,,,,,,,,,
Akita,22252,0,0,0,95.87819888459157,981000,96.59480571428571,,,,,,,,,,,,
Akita,22259,4,0,1.75,95.79336649700829,981000,96.56795,,,,,,,,,,,,
Akita,22266,1,0,-5.75,95.79336649700829,981000,96.56795,,,,,,,,,,,,
Akita,22273,30,0,-3,95.79336649700829,981000,96.56795,,,,,,,,,,,,
Akita,22280,21,0,-26.75,95.85103100076013,981000,95.97125000000001,,,,,,,,,,,,
Akita,22287,27,0,-19,95.92791700576254,981000,95.17565,,,,,,,,,,,,
Akita,22294,35,0,-11.25,95.92791700576254,981000,95.17565,,,,,,,,,,,,
Akita,22301,39,0,-12.5,95.92791700576254,981000,95.17565,,,,,,,,,,,,
Akita,22308,14,0,-11,95.92791700576254,981000,95.17565,,,,,,,,,,,,
Akita,22315,8,3,-14.5,95.99539455539129,981000,94.85119999999999,,,,,,,,,,,,
Akita,22322,0,1,-9.5,95.99539455539129,981000,94.85119999999999,,,,,,,,,,,,
Akita,22329,0,1,-13,95.99539455539129,981000,94.85119999999999,,,,,,,,,,,,
Akita,22336,0,0,-6.75,95.99539455539129,981000,94.85119999999999,,,,,,,,,,,,
Akita,22343,0,0,-5.75,,981000,95.72142999999998,,,,,,,,,,,,
Akita,22350,0,0,-4.5,,981000,95.72142999999998,,,,,,,,,,,,
Akita,22357,8,0,-.25,,981000,95.72142999999998,,,,,,,,,,,,
Akita,22364,6,0,-.75,,981000,95.72142999999998,,,,,,,,,,,,
Akita,22371,18,0,1.5,,981000,95.61999571428571,,,,,,,,,,,,
Akita,22378,30,0,3.25,,981000,95.54391999999999,,,,,,,,,,,,
Akita,22385,36,3,7.25,,981000,95.54391999999999,407,407,0,,,,,,,.030443564,.030443564,
Akita,22392,47,0,16.25,,981000,95.54391999999999,1889,1889,0,26504,18213,8291,.010027096,.010321881,.0094351647,.025236467,.025236467,
Akita,22399,78,0,8.5,,981000,95.46982857142856,5227,5227,0,34690,23819,10871,.009575149,.0092324493,.010422839,.024433797,.024433797,
Akita,22406,104,0,14.25,,981000,95.28459999999998,7585,7487,98,36793,24963,11830,.0089844689,.0084733367,.010294897,.022233818,.02256337,.010508256
