prefecture,date,positive,death,mobility,gdp,population,gop,Elderly_cum_total,Elderly_cum_first,Elderly_cum_second,Medical_cum_total,Medical_cum_first,Medical_cum_second,Medical_ps_total,Medical_ps_first,Medical_ps_second,Elderly_ps_total,Elderly_ps_first,Elderly_ps_second,Variant_Rate,serious
Aichi,21937,1,0,,100.0000048738965,7537000,102.0437,,,,,,,,,,,,,,
Aichi,21944,1,0,,99.64363657331664,7537000,101.7143857142857,,,,,,,,,,,,,,
Aichi,21951,0,0,,98.75271582186689,7537000,100.8911,,,,,,,,,,,,,,
Aichi,21958,3,0,-7,98.75271582186689,7537000,100.8911,,,,,,,,,,,,,,
Aichi,21965,12,0,-.75,98.75271582186689,7537000,100.8911,,,,,,,,,,,,,,
Aichi,21972,15,0,-3.5,98.21301547316162,7537000,99.9751857142857,,,,,,,,,,,,,,
Aichi,21979,48,1,-7.75,94.97481338093007,7537000,94.47969999999999,,,,,,,,,,,,,,
Aichi,21986,41,11,-4.5,94.97481338093007,7537000,94.47969999999999,,,,,,,,,,,,,,0
Aichi,21993,22,4,-1.75,94.97481338093007,7537000,94.47969999999999,,,,,,,,,,,,,,0
Aichi,22000,24,3,-4,94.97481338093007,7537000,94.47969999999999,,,,,,,,,,,,,,0
Aichi,22007,61,1,-5.5,86.33277689338613,7537000,89.35605714285714,,,,,,,,,,,,,,0
Aichi,22014,99,4,-8.75,82.87596229836855,7537000,87.3066,,,,,,,,,,,,,,0
Aichi,22021,82,1,-20.75,82.87596229836855,7537000,87.3066,,,,,,,,,,,,,,0
Aichi,22028,68,6,-27.5,82.87596229836855,7537000,87.3066,,,,,,,,,,,,,,0
Aichi,22035,15,3,-24.5,80.59913108369395,7537000,84.79984285714285,,,,,,,,,,,,,,0
Aichi,22042,9,0,-28.25,77.56335613079447,7537000,81.4575,,,,,,,,,,,,,,0
Aichi,22049,8,0,-21.25,77.56335613079447,7537000,81.4575,,,,,,,,,,,,,,4
