date,serious
21958,3
21965,13
21972,23
21979,33
21986,41
21993,54
22000,59
22007,79
22014,135
22021,231
22028,300
22035,308
22042,249
22049,228
22056,165
22063,115
22070,99
22077,71
22084,59
22091,43
22098,34
22105,34
22112,47
22119,67
22126,87
22133,162
22140,243
22147,259
22154,236
22161,209
22168,185
22175,163
22182,159
22189,131
22196,146
22203,144
22210,162
22217,163
22224,204
22231,251
22238,331
22245,472
22252,530
22259,588
22266,603
22273,661
22280,731
22287,864
22294,973
22301,1017
22308,975
22315,773
22322,658
22329,510
22336,436
22343,380
22350,327
22357,324
22364,342
22371,445
22378,563
22385,738
22392,898
22399,1084
22406,1152
22413,1227
