prefecture,date,positive,death,mobility,gdp,population,gop,Elderly_cum_total,Elderly_cum_first,Elderly_cum_second,Medical_cum_total,Medical_cum_first,Medical_cum_second,Medical_ps_total,Medical_ps_first,Medical_ps_second,Elderly_ps_total,Elderly_ps_first,Elderly_ps_second,Variant_Rate,serious,ICU_NHK,all_bed,Delta_Variant_Rate
Aichi,21937,1,0,,100.0000048738966,7537000,102.0684,,,,,,,,,,,,,,,,,
Aichi,21944,1,0,,99.64363657331668,7537000,101.7551714285714,,,,,,,,,,,,,,,,,
Aichi,21951,0,0,,98.75271582186689,7537000,100.9721,,,,,,,,,,,,,,,,,
Aichi,21958,3,0,-7,98.75271582186689,7537000,100.9721,,,,,,,,,,,,,,,,,
Aichi,21965,12,0,-.75,98.75271582186689,7537000,100.9721,,,,,,,,,,,,,,,,,
Aichi,21972,15,0,-3.5,98.21301547316163,7537000,100.0587857142857,,,,,,,,,,,,,,,,,
Aichi,21979,48,1,-7.75,94.9748133809301,7537000,94.57889999999999,,,,,,,,,,,,,,,,,
Aichi,21986,41,11,-4.5,94.9748133809301,7537000,94.57889999999999,,,,,,,,,,,,,,0,,,
Aichi,21993,22,4,-1.75,94.9748133809301,7537000,94.57889999999999,,,,,,,,,,,,,,0,,,
Aichi,22000,24,3,-4,94.9748133809301,7537000,94.57889999999999,,,,,,,,,,,,,,0,,,
Aichi,22007,61,1,-5.5,86.33277689338614,7537000,89.37647142857143,,,,,,,,,,,,,,0,,,
Aichi,22014,99,4,-8.75,82.87596229836855,7537000,87.29550000000002,,,,,,,,,,,,,,0,,,
Aichi,22021,82,1,-20.75,82.87596229836855,7537000,87.29550000000002,,,,,,,,,,,,,,0,,,
Aichi,22028,68,6,-27.5,82.87596229836855,7537000,87.29550000000002,,,,,,,,,,,,,,0,,,
Aichi,22035,15,3,-24.5,80.59913108369396,7537000,84.82654285714287,,,,,,,,,,,,,,0,,,
Aichi,22042,9,0,-28.25,77.56335613079453,7537000,81.5346,,,,,,,,,,,,,,0,,,
Aichi,22049,8,0,-21.25,77.56335613079453,7537000,81.5346,,,,,,,,,,,,,,4,4,28,
Aichi,22056,1,0,-17.75,77.56335613079453,7537000,81.5346,,,,,,,,,,,,,,0,0,28,
Aichi,22063,1,0,-14,77.56335613079453,7537000,81.5346,,,,,,,,,,,,,,0,0,28,
Aichi,22070,3,0,-11.5,84.71979417421299,7537000,86.1983,,,,,,,,,,,,,,0,0,28,
Aichi,22077,5,0,-16.5,84.71979417421299,7537000,86.1983,,,,,,,,,,,,,,0,0,28,
Aichi,22084,7,0,-8,84.71979417421299,7537000,86.1983,,,,,,,,,,,,,,0,0,28,
Aichi,22091,0,0,-9.75,84.71979417421299,7537000,86.1983,,,,,,,,,,,,,,0,0,28,
Aichi,22098,2,0,-11.75,87.74990079437544,7537000,89.45022857142858,,,,,,,,,,,,,,0,0,28,
Aichi,22105,6,0,-16,88.96194344244041,7537000,90.75099999999999,,,,,,,,,,,,,,0,0,28,
Aichi,22112,109,0,-15,88.96194344244041,7537000,90.75099999999999,,,,,,,,,,,,,,0,0,28,
Aichi,22119,460,1,-14.75,88.96194344244041,7537000,90.75099999999999,,,,,,,,,,,,,,1,0,28,
Aichi,22126,1073,0,-12,89.42117314961044,7537000,91.61294285714284,,,,,,,,,,,,,,2,2,28,
Aichi,22133,1018,2,-13,90.56924741753549,7537000,93.76779999999998,,,,,,,,,,,,,,7,7,60,
Aichi,22140,607,7,-17,90.56924741753549,7537000,93.76779999999998,,,,,,,,,,,,,,13,14,60,
Aichi,22147,449,13,-15.75,90.56924741753549,7537000,93.76779999999998,,,,,,,,,,,,,,16,15,70,
Aichi,22154,307,8,-14.25,90.56924741753549,7537000,93.76779999999998,,,,,,,,,,,,,,19,21,70,
Aichi,22161,206,9,-14.75,93.28305308567846,7537000,95.33491428571428,,,,,,,,,,,,,,18,16,70,
Aichi,22168,200,2,-14.5,93.73535403036895,7537000,95.59609999999999,,,,,,,,,,,,,,15,17,70,
Aichi,22175,206,5,-7,93.73535403036895,7537000,95.59609999999999,,,,,,,,,,,,,,16,19,70,
Aichi,22182,187,2,-10.25,93.73535403036895,7537000,95.59609999999999,,,,,,,,,,,,,,14,14,70,
Aichi,22189,147,3,-7.5,95.06119886493454,7537000,97.24747142857143,,,,,,,,,,,,,,15,17,70,
Aichi,22196,102,5,-11.5,96.0555824908587,7537000,98.486,,,,,,,,,,,,,,12,12,70,
Aichi,22203,146,0,-6.5,96.0555824908587,7537000,98.486,,,,,,,,,,,,,,9,10,70,
Aichi,22210,184,1,-5.75,96.0555824908587,7537000,98.486,,,,,,,,,,,,,,10,10,70,
Aichi,22217,406,4,-6.75,95.98689617470241,7537000,98.42128571428573,,,,,,,,,,,,,,10,10,70,
Aichi,22224,537,2,-8.25,95.57477827776461,7537000,98.033,,,,,,,,,,,,,,11,11,70,
Aichi,22231,834,2,-7.25,95.57477827776461,7537000,98.033,,,,,,,,,,,,,,15,15,70,
Aichi,22238,1118,6,-7.75,95.57477827776461,7537000,98.033,,,,,,,,,,,,,,17,15,70,
Aichi,22245,1186,10,-9,95.57477827776461,7537000,98.033,,,,,,,,,,,,,,22,16,70,
Aichi,22252,1324,16,-9.75,94.69765479971065,7537000,96.33474285714286,,,,,,,,,,,,,,28,30,70,
Aichi,22259,1382,12,-10.25,94.55146755336831,7537000,96.0517,,,,,,,,,,,,,,28,28,70,
Aichi,22266,1425,19,-12.75,94.55146755336831,7537000,96.0517,,,,,,,,,,,,,,35,35,70,
Aichi,22273,1537,32,-12.75,94.55146755336831,7537000,96.0517,,,,,,,,,,,,,,39,39,103,
Aichi,22280,1426,32,-35.5,94.84789482254241,7537000,95.48062857142857,,,,,,,,,,,,,,40,39,103,
Aichi,22287,2330,48,-19.5,95.2431311814412,7537000,94.7192,,,,,,,,,,,,,,40,38,103,
Aichi,22294,1854,48,-19,95.2431311814412,7537000,94.7192,,,,,,,,,,,,,,57,51,103,
Aichi,22301,1569,41,-21.75,95.2431311814412,7537000,94.7192,,,,,,,,,,,,,,58,54,125,
Aichi,22308,1186,36,-20,95.2431311814412,7537000,94.7192,,,,,,,,,,,,,,63,67,125,
Aichi,22315,674,50,-21.25,93.49548248494919,7537000,94.688,,,,,,,,,,,,,,55,60,125,
Aichi,22322,508,28,-18.5,93.49548248494919,7537000,94.688,,,,,,,,,,,,,,42,45,126,
Aichi,22329,367,28,-19,93.49548248494919,7537000,94.688,,,,,,,,,,,,,,34,35,126,
Aichi,22336,291,12,-14.5,93.49548248494919,7537000,94.688,,,,,,,,,,,,,,31,31,126,
Aichi,22343,301,23,-15.5,96.02569274600765,7537000,95.50300000000001,,,,,,,,,,,,,,31,33,126,
