prefecture,date,year,month,day,week,newpositive,I,R,D,severe,hospital,stringdate,陽性者数累計,軽症中等症,hotel,home,adjustment
Tokyo,21973,2020,2,28,6,0,21,15,1,5,21,2020-02-28,37,16,0,0,0
Tokyo,21974,2020,2,29,6,0,21,15,1,5,21,2020-02-29,37,16,0,0,0
Tokyo,21975,2020,3,1,6,2,23,15,1,5,23,2020-03-01,39,18,0,0,0
Tokyo,21976,2020,3,2,7,0,23,15,1,5,23,2020-03-02,39,18,0,0,0
Tokyo,21977,2020,3,3,7,1,22,17,1,5,22,2020-03-03,40,17,0,0,0
Tokyo,21978,2020,3,4,7,4,26,17,1,6,26,2020-03-04,44,20,0,0,0
Tokyo,21979,2020,3,5,7,8,32,19,1,7,32,2020-03-05,52,25,0,0,0
Tokyo,21980,2020,3,6,7,6,37,20,1,8,37,2020-03-06,58,29,0,0,0
Tokyo,21981,2020,3,7,7,6,43,20,1,8,43,2020-03-07,64,35,0,0,0
Tokyo,21982,2020,3,8,7,0,43,20,1,8,43,2020-03-08,64,35,0,0,0
Tokyo,21983,2020,3,9,8,0,40,22,2,7,40,2020-03-09,64,33,0,0,0
Tokyo,21984,2020,3,10,8,3,43,22,2,8,43,2020-03-10,67,35,0,0,0
Tokyo,21985,2020,3,11,8,6,49,22,2,7,49,2020-03-11,73,42,0,0,0
Tokyo,21986,2020,3,12,8,2,51,22,2,7,51,2020-03-12,75,44,0,0,0
Tokyo,21987,2020,3,13,8,2,53,22,2,8,53,2020-03-13,77,45,0,0,0
Tokyo,21988,2020,3,14,8,10,63,22,2,8,63,2020-03-14,87,55,0,0,0
Tokyo,21989,2020,3,15,8,3,66,22,2,8,66,2020-03-15,90,58,0,0,0
Tokyo,21990,2020,3,16,9,0,66,22,2,8,66,2020-03-16,90,58,0,0,0
Tokyo,21991,2020,3,17,9,12,70,30,2,8,70,2020-03-17,102,62,0,0,0
Tokyo,21992,2020,3,18,9,9,79,30,2,8,79,2020-03-18,111,71,0,0,0
Tokyo,21993,2020,3,19,9,7,85,31,2,9,85,2020-03-19,118,76,0,0,0
Tokyo,21994,2020,3,20,9,11,95,31,3,9,95,2020-03-20,129,86,0,0,0
Tokyo,21995,2020,3,21,9,7,101,31,4,9,101,2020-03-21,136,92,0,0,0
Tokyo,21996,2020,3,22,9,2,103,31,4,9,103,2020-03-22,138,94,0,0,0
Tokyo,21997,2020,3,23,10,16,119,31,4,11,119,2020-03-23,154,108,0,0,0
Tokyo,21998,2020,3,24,10,17,135,31,5,11,135,2020-03-24,171,124,0,0,0
Tokyo,21999,2020,3,25,10,41,176,31,5,12,176,2020-03-25,212,164,0,0,0
Tokyo,22000,2020,3,26,10,47,223,31,5,15,223,2020-03-26,259,208,0,0,0
Tokyo,22001,2020,3,27,10,40,254,39,6,15,254,2020-03-27,299,239,0,0,0
Tokyo,22002,2020,3,28,10,63,315,40,7,14,315,2020-03-28,362,301,0,0,0
Tokyo,22003,2020,3,29,10,68,382,40,8,15,382,2020-03-29,430,367,0,0,0
Tokyo,22004,2020,3,30,11,13,394,40,9,16,394,2020-03-30,443,378,0,0,0
Tokyo,22005,2020,3,31,11,78,465,40,16,16,465,2020-03-31,521,449,0,0,0
Tokyo,22006,2020,4,1,11,66,531,40,16,17,531,2020-04-01,587,514,0,0,0
