,date,data.all.cumulative_1st_dose,data.all.cumulative_2nd_dose,data.older_people.cumulative_1st_dose,data.older_people.cumulative_2nd_dose
0,2021-04-12,391,0,292,0
1,2021-04-13,479,0,347,0
2,2021-04-14,835,0,638,0
3,2021-04-15,1302,0,685,0
4,2021-04-16,2385,0,1044,0
5,2021-04-17,3157,0,1209,0
6,2021-04-18,3315,0,1227,0
7,2021-04-19,5481,0,1926,0
8,2021-04-20,8091,0,2733,0
9,2021-04-21,11630,0,3770,0
10,2021-04-22,15043,0,5043,0
11,2021-04-23,18757,0,6154,0
12,2021-04-24,21092,0,6901,0
13,2021-04-25,22035,0,7520,0
14,2021-04-26,25662,0,8975,0
15,2021-04-27,29706,0,10373,0
16,2021-04-28,35196,0,12194,0
17,2021-04-29,36347,0,12628,0
18,2021-04-30,40306,0,14189,0
19,2021-05-01,42298,0,14841,0
20,2021-05-02,43223,0,15662,0
21,2021-05-03,44112,6,16360,5
22,2021-05-04,44965,11,17068,8
23,2021-05-05,46056,16,18055,10
24,2021-05-06,49065,513,20497,101
25,2021-05-07,51404,1216,22297,269
26,2021-05-08,54625,1707,24395,406
27,2021-05-09,66835,1837,35718,441
28,2021-05-10,73708,3487,41896,1246
29,2021-05-11,82642,5057,50113,1803
30,2021-05-12,97482,7256,64142,2623
31,2021-05-13,112018,9680,77829,3930
32,2021-05-14,125715,12518,90818,5202
33,2021-05-15,143639,14474,108034,5915
34,2021-05-16,170667,15179,134274,6504
35,2021-05-17,188220,17948,151151,7866
36,2021-05-18,211395,20702,173451,9065
37,2021-05-19,242903,24441,203867,10566
38,2021-05-20,275113,25841,234995,11161
39,2021-05-21,301449,28748,260269,12260
40,2021-05-22,336545,30931,294274,12913
41,2021-05-23,385814,31709,342220,13601
42,2021-05-24,425835,32681,381074,14333
43,2021-05-25,472754,33450,426558,14861
44,2021-05-26,529560,34506,480926,15735
45,2021-05-27,583155,37471,532873,18033
46,2021-05-28,632866,39757,580806,19732
47,2021-05-29,689362,42463,635484,21586
48,2021-05-30,748917,50907,693063,29415
49,2021-05-31,798623,56303,741024,34214
50,2021-06-01,861495,63128,801964,40686
51,2021-06-02,929694,73807,867927,50936
52,2021-06-03,988780,85011,925152,61715
53,2021-06-04,1048850,94764,982895,71081
54,2021-06-05,1110425,108293,1041723,84130
55,2021-06-06,1170863,134959,1099743,110041
56,2021-06-07,1224716,149131,1151639,123864
57,2021-06-08,1283880,168057,1208683,142296
58,2021-06-09,1343804,192955,1266176,166487
59,2021-06-10,1397945,220986,1317896,193830
60,2021-06-11,1456056,243788,1372859,215795
61,2021-06-12,1511053,274782,1424202,245946
62,2021-06-13,1561899,320564,1472053,290556
63,2021-06-14,1612311,352223,1519356,321608
64,2021-06-15,1668532,389721,1571578,358308
65,2021-06-16,1724034,434918,1622717,402417
66,2021-06-17,1779509,479024,1669626,445597
67,2021-06-18,1839007,518793,1718456,484307
68,2021-06-19,1896056,564964,1764269,529263
69,2021-06-20,1948601,620785,1804935,583632
70,2021-06-21,2009346,657655,1849096,619640
71,2021-06-22,2073893,707631,1893782,668449
72,2021-06-23,2136365,763733,1936364,723075
73,2021-06-24,2198234,811488,1979202,769693
74,2021-06-25,2263215,860173,2020985,816726
75,2021-06-26,2327940,913848,2063294,868295
76,2021-06-27,2388249,978036,2098550,930362
77,2021-06-28,2442222,1035253,2130664,985347
78,2021-06-29,2503105,1098861,2165362,1046575
79,2021-06-30,2567756,1166223,2200167,1110955
80,2021-07-01,2619707,1224643,2224514,1166704
81,2021-07-02,2670951,1286920,2245304,1225562
82,2021-07-03,2733898,1341149,2272989,1276301
83,2021-07-04,2778297,1380896,2288854,1313557
84,2021-07-05,2848470,1436643,2313852,1366030
85,2021-07-06,2926876,1494754,2340327,1420257
86,2021-07-07,3009065,1553324,2366585,1474690
87,2021-07-08,3089086,1603395,2391977,1520907
88,2021-07-09,3171050,1656814,2415333,1568844
89,2021-07-10,3257163,1712174,2439595,1617590
90,2021-07-11,3332000,1763645,2453209,1663415
91,2021-07-12,3393663,1810809,2466579,1702919
92,2021-07-13,3463254,1860531,2480294,1742679
93,2021-07-14,3536439,1910972,2494197,1783219
94,2021-07-15,3603841,1958566,2505643,1821052
95,2021-07-16,3669806,2007858,2515860,1856137
96,2021-07-17,3736877,2061001,2526232,1895359
97,2021-07-18,3801750,2111633,2533175,1930394
98,2021-07-19,3840138,2154108,2537039,1954607
99,2021-07-20,3890619,2198997,2543040,1979827
100,2021-07-21,3933894,2239412,2547711,2000748
101,2021-07-22,3955815,2261618,2549624,2010800
