prefecture,date,positive,death,mobility,gdp,population,gop
Aichi,21937,1,0,,100.0000048738965,7537000,102.0423
Aichi,21944,1,0,,99.64363657331661,7537000,101.6347285714286
Aichi,21951,0,0,,98.7527158218668,7537000,100.6158
Aichi,21958,3,0,-7,98.7527158218668,7537000,100.6158
Aichi,21965,12,0,-.75,98.7527158218668,7537000,100.6158
Aichi,21972,15,0,-3.5,98.21301547316156,7537000,99.80614285714286
Aichi,21979,48,1,-7.75,94.97481338093009,7537000,94.94820000000001
Aichi,21986,41,11,-4.5,94.97481338093009,7537000,94.94820000000001
Aichi,21993,22,4,-1.75,94.97481338093009,7537000,94.94820000000001
Aichi,22000,24,3,-4,94.97481338093009,7537000,94.94820000000001
Aichi,22007,61,1,-5.5,86.33277689338613,7537000,89.40648571428572
Aichi,22014,99,4,-8.75,82.87596229836855,7537000,87.18980000000001
Aichi,22021,82,1,-20.75,82.87596229836855,7537000,87.18980000000001
Aichi,22028,68,6,-27.5,82.87596229836855,7537000,87.18980000000001
Aichi,22035,15,3,-24.5,80.59913108369393,7537000,85.18588571428572
Aichi,22042,9,0,-28.25,77.56335613079445,7537000,82.514
Aichi,22049,8,0,-21.25,77.56335613079445,7537000,82.514
Aichi,22056,1,0,-17.75,77.56335613079445,7537000,82.514
Aichi,22063,1,0,-14,77.56335613079445,7537000,82.514
Aichi,22070,3,0,-11.5,84.71979417421299,7537000,88.35220000000001
Aichi,22077,5,0,-16.5,84.71979417421299,7537000,88.35220000000001
Aichi,22084,7,0,-8,84.71979417421299,7537000,88.35220000000001
Aichi,22091,0,0,-9.75,84.71979417421299,7537000,88.35220000000001
Aichi,22098,2,0,-11.75,87.74990079437544,7537000,90.25377142857143
Aichi,22105,6,0,-16,88.96194344244041,7537000,91.01440000000001
Aichi,22112,109,0,-15,88.96194344244041,7537000,91.01440000000001
Aichi,22119,460,1,-14.75,88.96194344244041,7537000,91.01440000000001
Aichi,22126,1073,0,-12,89.42117314961044,7537000,91.71014285714286
Aichi,22133,1018,2,-13,90.56924741753551,7537000,93.44950000000001
Aichi,22140,607,7,-17,90.56924741753551,7537000,93.44950000000001
Aichi,22147,449,13,-15.75,90.56924741753551,7537000,93.44950000000001
Aichi,22154,307,8,-14.25,90.56924741753551,7537000,93.44950000000001
Aichi,22161,206,9,-14.75,93.2830530856784,7537000,94.84998571428571
Aichi,22168,200,2,-14.5,93.73535403036888,7537000,95.0834
Aichi,22175,206,5,-7,93.73535403036888,7537000,95.0834
Aichi,22182,187,2,-10.25,93.73535403036888,7537000,95.0834
Aichi,22189,147,3,-7.5,95.06119886493448,7537000,96.23557142857143
Aichi,22196,102,5,-11.5,96.0555824908587,7537000,97.0997
Aichi,22203,146,0,-6.5,96.0555824908587,7537000,97.0997
Aichi,22210,184,1,-5.75,96.0555824908587,7537000,97.0997
