prefecture,date,positive,death,mobility,gdp,population,gop,Elderly_cum_total,Elderly_cum_first,Elderly_cum_second,Medical_cum_total,Medical_cum_first,Medical_cum_second,Medical_ps_total,Medical_ps_first,Medical_ps_second,Elderly_ps_total,Elderly_ps_first,Elderly_ps_second,Variant_Rate,serious,ICU_NHK,all_bed,Delta_Variant_Rate,hospital,newpositive,I,R,D,severe
Aichi,21937,1,0,,100.000005599493,7537000,102.0308,,,,,,,,,,,,,,,,,,,0,,,,
Aichi,21944,1,0,,99.8249934208676,7537000,101.7176285714286,,,,,,,,,,,,,,,,,,,0,,,,
Aichi,21951,0,0,,99.38746297430406,7537000,100.9347,,,,,,,,,,,,,,,,,,,0,,,,
Aichi,21958,3,0,-7,99.38746297430406,7537000,100.9347,,,,,,,,,,,,,,,,,,,0,,,,
Aichi,21965,12,0,-.75,99.38746297430406,7537000,100.9347,,,,,,,,,,,,,,,,,,,0,,,,
Aichi,21972,15,0,-3.5,98.91497797118109,7537000,100.0216714285715,,,,,,,,,,,,,,,,,,,0,,,,
Aichi,21979,48,1,-7.75,96.08006795244329,7537000,94.54349999999999,,,,,,,,,,,,,,,,,,,0,,,,
Aichi,21986,41,11,-4.5,96.08006795244329,7537000,94.54349999999999,,,,,,,,,,,,,,0,,,,,0,,,,
Aichi,21993,22,4,-1.75,96.08006795244329,7537000,94.54349999999999,,,,,,,,,,,,,,0,,,,,0,,,,
Aichi,22000,24,3,-4,96.08006795244329,7537000,94.54349999999999,,,,,,,,,,,,,,0,,,,,0,,,,
Aichi,22007,61,1,-5.5,87.08865916193464,7537000,89.27635714285712,,,,,,,,,,,,,,0,,,,,0,,,,
Aichi,22014,99,4,-8.75,83.49209564573118,7537000,87.16949999999999,,,,,,,,,,,,,,0,,,,,0,,,,
Aichi,22021,82,1,-20.75,83.49209564573118,7537000,87.16949999999999,,,,,,,,,,,,,,0,,,,,0,,,,
Aichi,22028,68,6,-27.5,83.49209564573118,7537000,87.16949999999999,,,,,,,,,,,,,,0,,,,,0,,,,
Aichi,22035,15,3,-24.5,81.15415844369987,7537000,84.70542857142857,,,,,,,,,,,,,,0,,,,,0,,,,
Aichi,22042,9,0,-28.25,78.03690884099144,7537000,81.42,,,,,,,,,,,,,,0,,,,,0,,,,
Aichi,22049,8,0,-21.25,78.03690884099144,7537000,81.42,,,,,,,,,,,,,,2,4,28,,,0,,,,
