date,total,once,twice,facilities
2/17/2021,125,125,0,8
2/18/2021,486,486,0,16
2/19/2021,4428,4428,0,68
2/22/2021,6895,6895,0,95
2/24/2021,5954,5954,0,96
2/25/2021,4008,4008,0,100
2/26/2021,6634,6634,0,100
3/1/2021,3255,3255,0,100
3/2/2021,2987,2987,0,100
3/3/2021,2531,2531,0,101
3/4/2021,1871,1871,0,108
3/5/2021,7295,7295,0,149
3/8/2021,24327,24327,0,288
3/9/2021,36762,36762,0,445
3/10/2021,41392,41357,35,563
3/11/2021,32234,31826,408,642
3/12/2021,49358,46453,2905,767
3/15/2021,59733,55204,4529,1043
3/16/2021,68916,67446,1470,1304
3/17/2021,78294,73352,4942,1505
3/18/2021,71217,67217,4000,1633
3/19/2021,70133,63041,7092,1746
3/22/2021,73863,70115,3748,1869
3/23/2021,46428,43801,2627,1963
3/24/2021,42054,38731,3323,2043
3/25/2021,33942,31571,2371,2092
3/26/2021,47747,43993,3754,2145
3/29/2021,67793,44039,23754,2250
3/30/2021,59069,27242,31827,2356
3/31/2021,53008,24213,28795,2467
4/1/2021,47373,16156,31217,2516
4/2/2021,46586,20026,26560,2567
4/5/2021,100186,43297,56889,2764
4/6/2021,91682,39420,52262,2934
4/7/2021,104542,40371,64171,3092
4/8/2021,94498,29956,64542,3179
4/9/2021,104911,35313,69598,3255
4/12/2021,"96,936 ","26,850 ","70,086 ",0
4/13/2021,"53,986 ","13,896 ","40,090 ",0
4/14/2021,"50,996 ","9,569 ","41,427 ",0
4/15/2021,"52,620 ","16,637 ","35,983 ",0
4/16/2021,"69,687 ","29,696 ","39,991 ",0
4/19/2021,"119,032 ","64,725 ","54,307 ",0
4/20/2021,"126,419 ","98,622 ","27,797 ",0
4/21/2021,"152,884 ","126,188 ","26,696 ",0
4/22/2021,"150,489 ","128,634 ","21,855 ",0
4/23/2021,"177,672 ","147,989 ","29,683 ",0
4/26/2021,"263,328 ","221,677 ","41,651 ",0
4/27/2021,"203,174 ","172,069 ","31,105 ",0
4/28/2021,"238,273 ","194,005 ","44,268 ",0
4/30/2021,"274,907 ","227,667 ","47,240 ",0
5/6/2021,"331,914 ","268,978 ","62,936 ",0
5/7/2021,"140,344 ","97,165 ","43,179 ",0
