prefecture,year,month,positive,death,population,gdo,gdp,mobility,credit_all,credit_service,pos,travel,eventticket,restaurant_info,joboffer,event_info,travel_info,movie_info,departsuper,conveni,kaden,drugstore,TDBall,TDBagri,TDBkinyuu,TDBkensetsu,TDBfudosan,TDBseizou,TDBoroshi,TDBkouri,TDBunyu,TDBsurvice,TDBother,TDBdaikigyo,TDBchusho,koujihi,newtruck,newcar,yuirail,airport,hotel,fish,elec,ship,kankou3,kankou2,kankou1,car2,car1,deposit,loan,machine2,machine1,ex2,ex1,wage2,wage1,employ,cpi,di,ci,fusai2,fusai1,tosan2,tosan1,ryoko,setsubi,infra2,infra1,newcar3,newcar2,newcar1
Aichi,2020,1,2,0,7537000,102.05053,100,,1,0,12.083333,1,-45.3933381,-0.834493075,2.5,-14.0322466,-0.494438023,1.196148038,0.2,0.3,-4.7,9.2,,,,,,,,,,,,,,-15.80120635,1544,7510,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Aichi,2020,2,27,0,7537000,100.89946,99.292732,-1.5,-4,-5,9.4814816,1,-66.45023945,-4.906899311,10.518518,-13.09135261,-3.356645148,-5.491297659,2.4,1.7,3.2,24.4,36.9,,50,48.1,40,33.7,31.8,36.5,34.9,44.8,41.7,39.9,36.1,-10.41336609,1625,9160,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Aichi,2020,3,149,19,7537000,94.491615,94.064972,-5.75,-7.5,-9,7.25,-81,-87.5071408,-22.81122737,0.5,-13.22647054,-12.42444002,-15.47691205,-9,-6.4,-12.6,11.4,30.4,,27.8,40.8,31,29.6,26.4,21.3,31,32.7,25,33,29.7,-23.66352674,1961,9928,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,111.5,,,
Aichi,2020,4,309,14,7537000,87.075684,83.11602,-20.625,-16.5,-25,8.666667,-97,-99.6751372,-62.83226903,-17.4,-64.31063966,-47.46454155,-27.5735423,-18.2,-10.7,-10.1,18.2,22.5,,27.8,31.1,24.7,22.4,18.5,10.5,23.7,25.3,50,26.3,21.5,50.17910853,1099,4265,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,77.6,,,
Aichi,2020,5,24,1,7537000,81.277588,75.588509,-20.25,-12.5,-20.5,7.5,-98,-99.9512478,-52.18157851,-31,-77.93049629,-52.13233639,-25.159971,-10.5,-9.1,6.7,14.6,22.8,,22.2,32.8,31,20.6,18.7,24.7,21.4,25.3,50,26,22,-9.606000948,945,3371,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,87,,,
Aichi,2020,6,17,0,7537000,85.879799,80.364128,-10.75,-7,-10.5,5.5,-86,-99.4395712,-26.83961405,-32.5,-67.51580033,-33.41066951,-41.62084125,-1.3,-6.9,17.1,7.2,25.2,,33.3,33.9,32.5,22.7,21.7,30.5,20.1,28.4,16.7,28,24.4,-21.9492212,1539,6800,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,91.3,,,
Aichi,2020,7,1307,1,7537000,91.03492,88.477394,-12.25,-3,-4.5,7.483871,-75,-96.9092185,-21.17040734,-31.225807,-60.82043079,-23.43258089,-52.13969974,-1.3,-8.8,8,8.2,27.3,,27.8,36.5,29.9,23.5,25.3,26.4,25.4,32,50,32.5,26,-19.48909386,1777,7559,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,94.2,,,
Aichi,2020,8,2764,30,7537000,93.958794,91.014778,-15.25,-6.5,-12,1.5,-59,-94.9919643,-32.7575236,-30.25,-65.25839753,-36.83637625,-42.86673925,-0.6,-5.9,3.7,15.3,27.7,,33.3,36.7,33.3,25.9,23.6,31.9,26.1,30.4,33.3,31.3,26.7,-1.759612266,1437,6362,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,101.2,,,
Aichi,2020,9,830,21,7537000,95.89505,94.755318,-10.625,-6,-6.5,-4.2592592,-155,-94.3312574,-22.63825726,-33.703705,-53.20692636,-19.26390823,-16.26670593,-13.8,-4.5,-32.9,-8.4,30.4,,27.8,40.5,34.1,29.6,26,27.3,28.2,33.2,50,34.5,29.3,-24.22134705,2001,9101,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,123.6,,,
Aichi,2020,10,864,10,7537000,98.368309,98.354309,-7,2,-0.5,8.0645161,67,-81.5505229,-19.79619735,-30.709677,-66.07917522,31.50562996,7.144235145,5.4,0.3,28.4,8.6,33.1,,41.7,40.7,33.3,30.8,31,33.3,31.6,35.8,25,37.6,31.9,-17.07140024,1767,7716,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,99.3,,,
Aichi,2020,11,3832,23,7537000,97.871117,98.172913,-8.125,-3.5,-7,1,81,-54.0781493,-28.66521289,-26.5,-23.80938643,19.68390257,9.2815257,-2.2,-5.7,23.5,7.9,36.1,,33.3,44.3,35.3,35.8,33.6,30.6,36.1,35.9,50,39.7,35.1,-3.86747153,1829,7604,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,87.8,,,
Aichi,2020,12,6449,95,7537000,96.352386,95.311989,-12.5,-6.5,-12.5,4.7741938,-6,-75.9018452,-41.12532899,-29.580645,-14.88757062,-3.732742927,-12.4284025,-2.3,-5.2,15.1,9.1,35.6,,44.4,40.4,34.1,35.8,32.5,30.6,41,36.2,50,37.3,35.1,-16.0696802,1542,6431,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,96.8,,,
Aichi,2021,1,7475,186,7537000,,95.428246,-21,-9,-15.5,11.5,-74,-73.502144,-44.15380856,-12.5,-12.0749315,-39.70991043,-10.9978524,-5.6,-4.7,12.9,9.3,34.9,,50,38.8,31.7,35.3,32.8,28.8,34.3,37,50,36.6,34.4,-12.83778894,1747,8593,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,74.9,,,
Aichi,2021,2,1841,118,7537000,,94.190979,-18.125,-12,-17,5.25,-76,-64,-46.42003039,-13.5,-51.8118517,-51.00367334,-5.48253765,-5,-7.5,1.4,-4.6,37.1,,44.4,41.9,40,37.7,34.7,29.7,40.1,36.5,16.7,40.4,36.3,14.08752853,1846,8979,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,109.5,,,
Aichi,2021,3,1505,65,7537000,,,-11.5,-7,-10,3.5,,-69,-37.63636266,-19.25,-14.98363178,-27.56794043,26.32399895,,,,,39.5,,41.7,40,41.7,42,37.1,36.1,40.5,39.1,50,43.5,38.5,-13.43664652,2376,11385,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,96.3,,,
Aichi,2021,4,6082,46,7537000,,,-9.75,,,7.6799998,,,-41.64,-18.333334,,,,,,,,40.4,,50,42.2,43.5,42.7,36.7,33.3,44.9,40.6,50,43.8,39.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Aichi,2021,5,3275,24,7537000,,,-21.125,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Akita,2020,1,0,0,981000,102.05053,100,,-2.5,-1,4.5833335,-5,-57.260274,10.14204267,-4.75,-8.602894876,10.68540806,4.337961291,-3.1,-1.8,4.9,9.1,,,,,,,,,,,,,,-13.00705092,392,1041,,,,,,,,,,,,,,,,,,,,,,55.6,79.7,,,,,,,,,,,
Akita,2020,2,0,0,981000,101.31385,101.06219,1,1.5,-1,-1.5555556,-9,24.2105263,-0.437044643,-6.8518519,3.92815167,1.555487633,-0.531770795,2.1,1.2,7.4,20.4,35.7,33.3,50,37.8,38.9,36.9,34.1,28.6,58,34.7,16.7,39.7,34.9,28.29527689,514,1343,,,,,,,,,,,,,,,,,,,,,,66.7,84.5,,,,,,,,,,,
Akita,2020,3,6,0,981000,97.427765,97.146179,-3.25,-1,-1.5,-2.25,-59,-99.6328029,-17.15135204,-3.5,3.011350343,-17.00451743,-10.34581278,-3.1,-7.3,-0.8,19.5,31.5,37.5,50,34.3,30,28.9,30.2,27.8,,35,16.7,32.1,31.5,-30.23260798,775,2069,,,,,,,,,,,,,,,,,,,,,,66.7,75.3,,,,,,,,,,,
Akita,2020,4,10,0,981000,91.648575,89.92453,-7.875,-1,2.5,2.7333333,-96,-100,-57.85273769,-8.1333332,-60.61583238,-45.05929793,-21.88855142,-3.9,-12,4.3,15.9,26.3,16.7,33.3,31.1,23.3,27,24.4,27.1,,25.6,16.7,21.4,27.1,-26.17328242,432,734,,,,,,,,,,,,,,,,,,,,,,44.4,66,,,,,,,,,,,
Akita,2020,5,0,0,981000,89.210632,86.701782,1.25,-1,-0.5,1.75,-98,-99.765808,-42.06804801,-18.5,-72.77119058,-44.87984545,-17.02917735,2.3,-10.1,24.3,7.6,27.3,22.2,50,34.4,19.4,29.4,23.6,30.6,66.7,22.6,16.7,29.2,27,-74.68988431,344,513,,,,,,,,,,,,,,,,,,,,,,22.2,53.7,,,,,,,,,,,
