prefecture,year,month,positive,death,population,FujiiKasaigdo,Fujiigdo,FujiiKasaigdp,Fujiigdp,rdei,mobility,creditall,creditservice,pos,travel,eventticket,restaurantinfo,joboffer,eventinfo,travelinfo,movieinfo,departsuper,conveni,kaden,drugstore,Kasaiiip,TDBall,TDBagri,TDBkinyuu,TDBkensetsu,TDBfudosan,TDBseizou,TDBoroshi,TDBkouri,TDBunyu,TDBservice,TDBother,TDBdaikigyo,TDBchusho,koujihi,newtruck,newcar,yuirail,airport,hotel,fish,elec,ship,kankou3,kankou2,kankou1,car2,car1,deposit,loan,machine2,machine1,ex2,ex1,wage2,wage1,employ,cpi,di,ci,fusai2,fusai1,tosan2,tosan1,ryoko,setsubi,infra2,infra1,newcar3,newcar2,newcar1
Aichi,2020,1,2,0,7537000,102.05053,102.04228,100,100.0000048738965,100,,1,0,12.083333,1,-45.3933381,-.8344930746186133,2.5,-14.03224660232499,-.4944380228020616,1.196148038333333,.2,.3,-4.7,9.199999999999999,105.2,,,,,,,,,,,,,,-15.80120634922496,1544,7510,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Aichi,2020,2,27,0,7537000,100.89946,100.61578,99.292732,98.75271582186681,98.451378,-1.5,-4,-5,9.4814816,1,-66.45023945,-4.906899310818397,10.518518,-13.09135261290396,-3.356645147929209,-5.491297659259258,2.4,1.7,3.2,24.4,104.1,36.9,,50,48.1,40,33.7,31.8,36.5,34.9,44.8,41.7,39.9,36.1,-10.41336609417942,1625,9160,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Aichi,2020,3,149,19,7537000,94.491615,94.948181,94.064972,94.97481338093016,91.120956,-5.75,-7.5,-9,7.25,-81,-87.5071408,-22.81122737312437,.5,-13.22647053541716,-12.4244400224935,-15.47691204999999,-9,-6.4,-12.6,11.4,96.40000000000001,30.4,,27.8,40.8,31,29.6,26.4,21.3,31,32.7,25,33,29.7,-23.6635267399645,1961,9928,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,111.5,,,
Aichi,2020,4,309,14,7537000,87.075684,87.189751,83.11602,82.87596229836849,86.795418,-20.625,-16.5,-25,8.666667,-97,-99.67513719999999,-62.83226903034851,-17.4,-64.31063965911861,-47.46454155058575,-27.5735423,-18.2,-10.7,-10.1,18.2,81,22.5,,27.8,31.1,24.7,22.4,18.5,10.5,23.7,25.3,50,26.3,21.5,50.17910853431528,1099,4265,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,77.59999999999999,,,
Aichi,2020,5,24,1,7537000,81.277588,82.514038,75.588509,77.5633561307945,83.009071,-20.25,-12.5,-20.5,7.5,-98,-99.9512478,-52.18157851279336,-31,-77.93049628714429,-52.13233639443155,-25.15997100000001,-10.5,-9.1,6.7,14.6,66.09999999999999,22.8,,22.2,32.8,31,20.6,18.7,24.7,21.4,25.3,50,26,22,-9.606000948078204,945,3371,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,87,,,
Aichi,2020,6,17,0,7537000,85.879799,88.352226,80.364128,84.71979417421294,87.213776,-10.75,-7,-10.5,5.5,-86,-99.4395712,-26.83961405203405,-32.5,-67.51580032707672,-33.41066950708581,-41.62084125,-1.3,-6.9,17.1,7.2,67.3,25.2,,33.3,33.9,32.5,22.7,21.7,30.5,20.1,28.4,16.7,28,24.4,-21.9492211955591,1539,6800,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,91.3,,,
Aichi,2020,7,1307,1,7537000,91.03492,91.014435,88.477394,88.96194344244036,87.340317,-12.25,-3,-4.5,7.483871,-75,-96.90921849999999,-21.17040734345037,-31.225807,-60.82043079189336,-23.43258089475118,-52.13969974193549,-1.3,-8.800000000000001,8,8.199999999999999,86.5,27.3,,27.8,36.5,29.9,23.5,25.3,26.4,25.4,32,50,32.5,26,-19.48909386124896,1777,7559,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,94.2,,,
Aichi,2020,8,2764,30,7537000,93.958794,93.449471,91.014778,90.56924741753556,90.449875,-15.25,-6.5,-12,1.5,-59,-94.99196430000001,-32.75752359817654,-30.25,-65.25839753211814,-36.83637624515659,-42.86673925,-.6,-5.9,3.7,15.3,91.5,27.7,,33.3,36.7,33.3,25.9,23.6,31.9,26.1,30.4,33.3,31.3,26.7,-1.759612266176546,1437,6362,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,101.2,,,
Aichi,2020,9,830,21,7537000,95.89505,95.083427,94.755318,93.73535403036887,90.448868,-10.625,-6,-6.5,-4.2592592,-155,-94.3312574,-22.63825726282995,-33.703705,-53.20692635645717,-19.26390822929383,-16.26670593333334,-13.8,-4.5,-32.9,-8.4,98.3,30.4,,27.8,40.5,34.1,29.6,26,27.3,28.2,33.2,50,34.5,29.3,-24.22134705190724,2001,9101,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,123.6,,,
Aichi,2020,10,864,10,7537000,98.368309,97.099701,98.354309,96.05558249085875,91.992325,-7,2,-.5,8.0645161,67,-81.5505229,-19.79619734800258,-30.709677,-66.07917522330112,31.50562995718251,7.144235144516128,5.4,.3,28.4,8.6,105.3,33.1,,41.7,40.7,33.3,30.8,31,33.3,31.6,35.8,25,37.6,31.9,-17.07140024159432,1767,7716,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,99.3,,,
Aichi,2020,11,3832,23,7537000,97.871117,96.448311,98.172913,95.57477827776468,91.211624,-8.125,-3.5,-7,1,81,-54.0781493,-28.66521289397895,-26.5,-23.80938643473491,19.6839025720596,9.2815257,-2.2,-5.7,23.5,7.9,105,36.1,,33.3,44.3,35.3,35.8,33.6,30.6,36.1,35.9,50,39.7,35.1,-3.867471529558316,1829,7604,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,87.8,,,
Aichi,2020,12,6449,95,7537000,96.352386,95.879707,95.311989,94.55146755336823,91.133751,-12.5,-6.5,-12.5,4.7741938,-6,-75.9018452,-41.12532899476976,-29.580645,-14.88757062390416,-3.732742926831789,-12.4284024967742,-2.3,-5.2,15.1,9.1,99,35.6,,44.4,40.4,34.1,35.8,32.5,30.6,41,36.2,50,37.3,35.1,-16.06968020102781,1542,6431,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,96.8,,,
Aichi,2021,1,7475,186,7537000,,,95.428246,95.255692713291,,-21,-9,-15.5,11.5,-74,-73.502144,-44.15380855599884,-12.5,-12.07493150258785,-39.70991042679133,-10.9978524,-5.6,-4.7,12.9,9.300000000000001,100.3,34.9,,50,38.8,31.7,35.3,32.8,28.8,34.3,37,50,36.6,34.4,-12.83778894318515,1747,8593,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,74.90000000000001,,,
Aichi,2021,2,1841,118,7537000,,,94.190979,93.72330060852904,,-18.125,-12,-17,5.25,-76,-64,-46.42003038940106,-13.5,-51.81185169778733,-51.00367333704117,-5.48253765,-5,-7.5,1.4,-4.6,97.5,37.1,,44.4,41.9,40,37.7,34.7,29.7,40.1,36.5,16.7,40.4,36.3,14.08752852781087,1846,8979,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,109.5,,,
