prefecture,year,month,positive,death,population,qe,FujiiKasaigdo,Fujiigdo,FujiiKasaigdp,Fujiigdp,rdei,qFujiigdp,qFujiigdponly,qFujiiKasaigdponly,qrdei,qrdeionly,mobility,creditall,creditservice,pos,travel,eventticket,restaurantinfo,joboffer,eventinfo,travelinfo,movieinfo,departsuper,conveni,kaden,drugstore,Kasaiiip,hhexp,TDBall,TDBagri,TDBkinyuu,TDBkensetsu,TDBfudosan,TDBseizou,TDBoroshi,TDBkouri,TDBunyu,TDBservice,TDBother,TDBdaikigyo,TDBchusho,koujihi,newtruck,newcar,yuirail,airport,hotel,fish,elec,ship,kankou3,kankou2,kankou1,car2,car1,deposit,loan,machine2,machine1,ex2,ex1,wage2,wage1,employ,cpi,di,ci,fusai2,fusai1,tosan2,tosan1,ryoko,setsubi,infra2,infra1,newcar3,newcar2,newcar1
Aichi,2020,1,2,0,7537000,99.99999542,102.05634,102.02887,100,100.0000056,100,102.02888,101.58938,101.58937,102.02887,102.47218,,1,0,12.08333333,1,-45.3933381,-0.834493075,2.5,-14.0322466,-0.494438023,1.196148038,0.2,0.3,-4.7,9.2,105.2,287173,,,,,,,,,,,,,,-15.80120635,1544,7510,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Aichi,2020,2,27,0,7537000,99.99999542,100.96159,100.98273,99.292732,99.38746297,98.561874,101.40391,100.96709,100.87086,100.56157,100.9985,-1.5,-4,-5,9.481481481,1,-66.45023945,-4.906899311,10.51851852,-13.09135261,-3.356645148,-5.491297659,2.4,1.7,3.2,24.4,104.1,271735,36.9,,50,48.1,40,33.7,31.8,36.5,34.9,44.8,41.7,39.9,36.1,-10.41336609,1625,9160,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Aichi,2020,3,149,19,7537000,99.99999542,94.573349,95.575882,94.064972,96.08006795,91.270592,98.029411,97.607132,95.560013,93.122353,93.52697,-5.75,-7.5,-9,7.25,-81,-87.5071408,-22.81122737,0.5,-13.22647054,-12.42444002,-15.47691205,-9,-6.4,-12.6,11.4,96.4,292214,30.4,,27.8,40.8,31,29.6,26.4,21.3,31,32.7,25,33,29.7,-23.66352674,1961,9928,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,111.5,,,
Aichi,2020,4,309,14,7537000,91.70163915,86.988861,87.3703,83.11602,83.49209565,86.805542,85.670357,87.073616,86.681404,89.070251,87.65757,-20.625,-16.5,-25,8.666666667,-97,-99.6751372,-62.83226903,-17.4,-64.31063966,-47.46454155,-27.5735423,-18.2,-10.7,-10.1,18.2,81,267922,22.5,,27.8,31.1,24.7,22.4,18.5,10.5,23.7,25.3,50,26.3,21.5,50.17910853,1099,4265,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,77.6,,,
Aichi,2020,5,24,1,7537000,91.70163915,81.285614,82.717903,75.588509,78.03690884,83.192505,80.072845,81.384422,78.830994,85.362953,84.009064,-20.25,-12.5,-20.5,7.5,-98,-99.9512478,-52.18157851,-31,-77.93049629,-52.13233639,-25.159971,-10.5,-9.1,6.7,14.6,66.1,252017,23.8,16.7,,36.1,33.3,17.6,23.6,30,16.7,29.2,,24.1,23.8,-9.606000948,945,3371,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,87,,,
Aichi,2020,6,17,0,7537000,91.70163915,85.926773,88.856987,80.364128,85.71259495,87.482803,87.948784,89.389366,83.81147,89.765182,88.341476,-10.75,-7,-10.5,5.5,-86,-99.4395712,-26.83961405,-32.5,-67.51580033,-33.41066951,-41.62084125,-1.3,-6.9,17.1,7.2,67.3,273699,27,,,35.4,33.3,20,39.4,36.7,16.7,26.7,,27.1,26.9,-21.9492212,1539,6800,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,91.3,,,
Aichi,2020,7,1307,1,7537000,96.53953546,90.963348,91.207558,88.477394,89.5665871,87.38018,92.334549,92.391823,91.268272,90.080574,90.024773,-12.25,-3,-4.5,7.483870968,-75,-96.9092185,-21.17040734,-31.22580645,-60.82043079,-23.43258089,-52.13969974,-1.3,-8.8,8,8.2,86.5,266897,31.8,,,43.1,33.3,25,39.4,30,33.3,40,,29.6,32.1,-19.48909386,1777,7559,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,94.2,,,
Aichi,2020,8,2764,30,7537000,96.53953546,93.987991,93.943771,91.014778,91.5648523,90.690285,94.394569,94.453117,93.885689,93.492973,93.435059,-15.25,-6.5,-12,1.5,-59,-94.9919643,-32.7575236,-30.25,-65.25839753,-36.83637625,-42.86673925,-0.6,-5.9,3.7,15.3,91.5,276360,31,,,45.2,33.3,24.1,42.6,36.1,11.1,27.8,,20.4,32.4,-1.759612266,1437,6362,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,101.2,,,
Aichi,2020,9,830,21,7537000,96.53953546,95.817024,95.417648,94.755318,94.62876773,90.485764,97.553169,97.613678,97.744217,93.282127,93.224342,-10.625,-6,-6.5,-4.259259259,-155,-94.3312574,-22.63825726,-33.7037037,-53.20692636,-19.26390823,-16.26670593,-13.8,-4.5,-32.9,-8.4,98.3,269863,31.9,,,50,33.3,26.8,33.3,41.7,16.7,26.7,,27.1,32.5,-24.22134705,2001,9101,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,123.6,,,
Aichi,2020,10,864,10,7537000,99.25709645,98.596924,97.80661,98.354309,97.19437215,92.38015,100.29039,100.01568,101.20928,95.322823,95.585381,-7,2,-0.5,8.064516129,67,-81.5505229,-19.79619735,-30.70967742,-66.07917522,31.50562996,7.144235145,5.4,0.3,28.4,8.6,105.3,283508,34.4,,,53.7,33.3,30.3,37,36.7,16.7,25,,28.6,35.1,-17.07140024,1767,7716,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,99.3,,,
