prefecture,date,year,month,day,week,newpositive,I,R,D,severe,入院中,宿泊療養,自宅療養,調整中,軽症中等症,stringdate,陽性者数累計
Tokyo,21973,2020,2,28,6,0,21,15,1,5,21,0,0,0,16,2020-02-28,37
Tokyo,21974,2020,2,29,6,0,21,15,1,5,21,0,0,0,16,2020-02-29,37
Tokyo,21975,2020,3,1,6,2,23,15,1,5,23,0,0,0,18,2020-03-01,39
Tokyo,21976,2020,3,2,7,0,23,15,1,5,23,0,0,0,18,2020-03-02,39
Tokyo,21977,2020,3,3,7,1,22,17,1,5,22,0,0,0,17,2020-03-03,40
Tokyo,21978,2020,3,4,7,4,26,17,1,6,26,0,0,0,20,2020-03-04,44
Tokyo,21979,2020,3,5,7,8,32,19,1,7,32,0,0,0,25,2020-03-05,52
Tokyo,21980,2020,3,6,7,6,37,20,1,8,37,0,0,0,29,2020-03-06,58
Tokyo,21981,2020,3,7,7,6,43,20,1,8,43,0,0,0,35,2020-03-07,64
Tokyo,21982,2020,3,8,7,0,43,20,1,8,43,0,0,0,35,2020-03-08,64
Tokyo,21983,2020,3,9,8,0,40,22,2,7,40,0,0,0,33,2020-03-09,64
Tokyo,21984,2020,3,10,8,3,43,22,2,8,43,0,0,0,35,2020-03-10,67
Tokyo,21985,2020,3,11,8,6,49,22,2,7,49,0,0,0,42,2020-03-11,73
Tokyo,21986,2020,3,12,8,2,51,22,2,7,51,0,0,0,44,2020-03-12,75
Tokyo,21987,2020,3,13,8,2,53,22,2,8,53,0,0,0,45,2020-03-13,77
Tokyo,21988,2020,3,14,8,10,63,22,2,8,63,0,0,0,55,2020-03-14,87
Tokyo,21989,2020,3,15,8,3,66,22,2,8,66,0,0,0,58,2020-03-15,90
Tokyo,21990,2020,3,16,9,0,66,22,2,8,66,0,0,0,58,2020-03-16,90
Tokyo,21991,2020,3,17,9,12,70,30,2,8,70,0,0,0,62,2020-03-17,102
Tokyo,21992,2020,3,18,9,9,79,30,2,8,79,0,0,0,71,2020-03-18,111
Tokyo,21993,2020,3,19,9,7,85,31,2,9,85,0,0,0,76,2020-03-19,118
Tokyo,21994,2020,3,20,9,11,95,31,3,9,95,0,0,0,86,2020-03-20,129
Tokyo,21995,2020,3,21,9,7,101,31,4,9,101,0,0,0,92,2020-03-21,136
Tokyo,21996,2020,3,22,9,2,103,31,4,9,103,0,0,0,94,2020-03-22,138
Tokyo,21997,2020,3,23,10,16,119,31,4,11,119,0,0,0,108,2020-03-23,154
Tokyo,21998,2020,3,24,10,17,135,31,5,11,135,0,0,0,124,2020-03-24,171
Tokyo,21999,2020,3,25,10,41,176,31,5,12,176,0,0,0,164,2020-03-25,212
