prefecture,Prefecture_JP,year,month,positive,death,population,qe,FujiiKasaigdo,FujiiKasaigdo_raw,Fujiigdo,Fujiigdo_raw,FujiiKasaigdp,Fujiigdp,rdei,qFujiigdp,qFujiigdponly,qFujiiKasaigdponly,qrdei,qrdeionly,ITA,IIP,KasaiIIP,mobility,creditall,creditservice,pos,travel,eventticket,restaurantinfo,joboffer,eventinfo,travelinfo,movieinfo,departsuper,conveni,kaden,drugstore,Kasaiiip,hhexp,TDBall,TDBagri,TDBkinyuu,TDBkensetsu,TDBfudosan,TDBseizou,TDBoroshi,TDBkouri,TDBunyu,TDBservice,TDBother,TDBdaikigyo,TDBchusho,koujihi,newtruck,newcar,yuirail,airport,hotel,fish,elec,ship,kankou3,kankou2,kankou1,car2,car1,deposit,loan,machine2,machine1,ex2,ex1,wage2,wage1,employ,cpi,di,ci,fusai2,fusai1,tosan2,tosan1,ryoko,setsubi,infra2,infra1,newcar3,newcar2,newcar1
Aichi,愛知県,2020,1,2,0,7537000,99.99999540999845,102.27454,100,102.17921,100,100,100.000005599493,100,102.17921,101.49139,101.49138,102.17921,102.87643,100,100.00002,100,,1,0,12.08333333333333,1,-45.3933381,-.8344930746186136,2.5,-14.03224660232499,-.4944380228020614,1.196148038333333,.2,.3,-4.7,9.199999999999999,103.5,287173,,,,,,,,,,,,,,-15.80120634922496,1544,7510,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Aichi,愛知県,2020,2,27,0,7537000,99.99999540999849,101.27134,99.019112,100.85416,98.703209,100.01927,99.38746297430406,98.018951,101.55332,100.86971,101.51094,100.15498,100.8384,99.566246,99.16629,100.57971,-1.5,-4,-5,9.481481481481481,1,-66.45023945,-4.906899310818397,10.51851851851852,-13.09135261290396,-3.35664514792921,-5.491297659259258,2.4,1.7,3.2,24.4,104.1,271735,36.9,,50,48.1,40,33.7,31.8,36.5,34.9,44.8,41.7,39.9,36.1,-10.41336609417942,1625,9160,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Aichi,愛知県,2020,3,149,19,7537000,99.99999540999849,94.832664,92.723633,95.45211,93.416374,94.694572,96.08006795244323,90.752686,98.173851,97.512985,96.106827,92.73037,93.363129,96.029213,96.142982,93.04348,-5.75,-7.5,-9,7.25,-81,-87.5071408,-22.81122737312437,.5,-13.22647053541716,-12.4244400224935,-15.47691204999999,-9,-6.4,-12.6,11.4,96.3,292214,30.4,,27.8,40.8,31,29.6,26.4,21.3,31,32.7,25,33,29.7,-23.6635267399645,1961,9928,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,111.5,,,
Aichi,愛知県,2020,4,309,14,7537000,92.05940288210788,89.197693,85.282562,89.134476,85.209534,83.638145,83.49209564573113,86.926971,87.337929,87.510994,87.66407,90.931023,90.751541,88.062889,77.837524,78.164253,-20.625,-16.5,-25,8.666666666666666,-97,-99.67513719999999,-62.83226903034851,-17.4,-64.31063965911861,-47.46454155058575,-27.5735423,-18.2,-10.7,-10.1,18.2,80.90000000000001,267922,22.5,,27.8,31.1,24.7,22.4,18.5,10.5,23.7,25.3,50,26.3,21.5,50.17910853431528,1099,4265,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,77.59999999999999,,,
Aichi,愛知県,2020,5,24,1,7537000,92.05940288210788,83.463486,79.800049,84.899139,81.160698,75.31562,78.03690884099154,84.284485,81.631462,81.793221,78.940941,88.166817,87.99279,85.899483,68.310043,62.222221,-20.25,-12.5,-20.5,7.5,-98,-99.9512478,-52.18157851279336,-31,-77.93049628714429,-52.13233639443155,-25.15997100000001,-10.5,-9.1,6.7,14.6,64.40000000000001,252017,23.8,16.7,,36.1,33.3,17.6,23.6,30,16.7,29.2,,24.1,23.8,-9.606000948078204,945,3371,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,87,,,
Aichi,愛知県,2020,6,17,0,7537000,92.05940288210788,88.110268,84.242867,90.629852,86.639061,80.920204,85.71259494503073,87.565529,89.660706,89.838371,84.8153,91.598991,91.418198,93.61335,75.938499,65.217392,-10.75,-7,-10.5,5.5,-86,-99.4395712,-26.83961405203405,-32.5,-67.51580032707672,-33.41066950708581,-41.62084125,-1.3,-6.9,17.1,7.2,67.5,273699,27,,,35.4,33.3,20,39.4,36.7,16.7,26.7,,27.1,26.9,-21.9492211955591,1539,6800,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,91.3,,,
Aichi,愛知県,2020,7,1307,1,7537000,96.94347665536681,92.439545,88.267044,92.262054,88.423409,89.253853,89.56658709981258,87.280228,93.454857,92.721382,92.397629,91.069244,91.79538,93.531967,84.66098,83.961349,-12.25,-3,-4.5,7.483870967741935,-75,-96.90921849999999,-21.17040734345037,-31.2258064516129,-60.82043079189336,-23.43258089475118,-52.13969974193549,-1.3,-8.800000000000001,8,8.199999999999999,86.90000000000001,266897,31.8,,,43.1,33.3,25,39.4,30,33.3,40,,29.6,32.1,-19.48909386124896,1777,7559,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,94.2,,,
Aichi,愛知県,2020,8,2764,30,7537000,96.94347665536681,95.298538,90.996986,94.901176,90.952728,91.653374,91.56485229817132,90.340599,95.539871,94.790031,94.881668,94.262474,95.014069,94.278503,88.207771,88.4058,-15.25,-6.5,-12,1.5,-59,-94.99196430000001,-32.75752359817654,-30.25,-65.25839753211814,-36.83637624515659,-42.86673925,-.6,-5.9,3.7,15.3,91.5,276360,31,,,45.2,33.3,24.1,42.6,36.1,11.1,27.8,,20.4,32.4,-1.759612266176546,1437,6362,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,101.2,,,
Aichi,愛知県,2020,9,830,21,7537000,96.94347665536681,96.648819,92.286316,96.048973,92.052773,95.095863,94.62876773351267,89.476776,98.736801,97.961868,98.445412,93.361153,94.10556,95.81768,93.157951,94.202896,-10.625,-6,-6.5,-4.25925925925926,-155,-94.3312574,-22.63825726282995,-33.7037037037037,-53.20692635645717,-19.26390822929383,-16.26670593333334,-13.8,-4.5,-32.9,-8.4,97.5,269863,31.9,,,50,33.3,26.8,33.3,41.7,16.7,26.7,,27.1,32.5,-24.22134705190724,2001,9101,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,123.6,,,
Aichi,愛知県,2020,10,864,10,7537000,98.72213897744405,98.547386,95.235878,97.425392,94.418022,98.830086,97.19437215051573,91.64167,100.29018,99.37088,101.04322,94.560608,95.443573,96.947205,97.500145,101.15942,-7,2,-.5,8.064516129032258,67,-81.5505229,-19.79619734800258,-30.70967741935484,-66.07917522330112,31.50562995718251,7.144235144516128,5.4,.3,28.4,8.6,104.7,283508,34.4,,,53.7,33.3,30.3,37,36.7,16.7,25,,28.6,35.1,-17.07140024159432,1767,7716,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,99.3,,,
