prefecture,Prefecture_JP,year,month,positive,death,population,qe,FujiiKasaigdo,FujiiKasaigdo_raw,Fujiigdo,Fujiigdo_raw,FujiiKasaigdp,Fujiigdp,rdei,rdei_setsubi,rdei_shohi,rdei_koukyou,rdei_jyutaku,qFujiigdp,qFujiigdponly,qFujiiKasaigdponly,qrdei,qrdeionly,ITA,IIP,KasaiIIP,mobility,creditall,creditservice,pos,travel,eventticket,restaurantinfo,joboffer,eventinfo,travelinfo,movieinfo,qe_民間最終消費支出,qe_家計最終消費支出,qe_除く持ち家の帰属家賃,qe_民間住宅,qe_民間企業設備,qe_民間在庫変動,qe_政府最終消費支出,qe_公的固定資本形成,qe_公的在庫変動,qe_純輸出,qe_輸出,qe_輸入,qe_開差,qe_交易利得,qe_GDI,qe_海外からの純受取,qe_海外からの受取,qe_海外への支払,qe_GNI,qe_国内需要,qe_民間需要,qe_公的需要,qe_総固定資本形成,qe_最終需要,departsuper,conveni,kaden,drugstore,Kasaiiip,hhexp,TDBall,TDBagri,TDBkinyuu,TDBkensetsu,TDBfudosan,TDBseizou,TDBoroshi,TDBkouri,TDBunyu,TDBservice,TDBother,TDBdaikigyo,TDBchusho,koujihi,newtruck,newcar,yuirail,airport,hotel,fish,elec,ship,kankou3,kankou2,kankou1,car2,car1,deposit,loan,machine2,machine1,ex2,ex1,wage2,wage1,employ,cpi,di,ci,fusai2,fusai1,tosan2,tosan1,ryoko,setsubi,infra2,infra1,newcar3,newcar2,newcar1
Aichi,愛知県,2020,1,2,0,7537000,100.0000022949857,102.13252,100,102.0386,100,100,100.000005599493,100,6.328977598733318,20.1639704859375,.7333681485817881,1.114572873650804,102.0386,101.49139,101.49138,102.0386,102.59175,100,100.00002,100,,1,0,12.08333333333333,1,-45.3933381,-.8344930746186136,2.5,-14.03224660232499,-.4944380228020613,1.196148038333333,295965.7999999999,288033.7000000001,238297.8999999999,19500.2,89811.30000000003,710,111303.9,28066.20000000001,19.4,-718,98857.80000000003,99575.80000000003,6.700000000000002,-675.3000000000001,543990.4000000001,21166.2,32566.5,11400.3,565156.5999999999,545297.7000000001,405935.7999999999,139362.3,137359.1,543988.9000000001,.2,.3,-4.7,9.199999999999999,103.5,287173,,,,,,,,,,,,,,-15.80120634922496,1544,7510,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Aichi,愛知県,2020,2,27,0,7537000,100.0000022949857,101.53597,99.415909,101.12025,99.100006,100.01927,99.38746297430409,98.812553,6.223362199428579,20.01670594867108,.7100784266402111,1.054208956192109,101.41357,100.86971,101.51094,100.82694,101.37353,99.566246,99.16629,100.57971,-1.5,-4,-5,9.481481481481481,1,-66.45023945,-4.906899310818397,10.51851851851852,-13.09135261290396,-3.35664514792921,-5.491297659259258,295965.7999999999,288033.7000000001,238297.9000000001,19500.2,89811.29999999999,710,111303.8999999999,28066.19999999999,19.39999999999999,-718,98857.79999999997,99575.79999999997,6.699999999999998,-675.2999999999996,543990.4000000003,21166.2,32566.5,11400.29999999999,565156.5999999997,545297.6999999997,405935.8000000001,139362.2999999999,137359.1000000001,543988.9000000003,2.4,1.7,3.2,24.4,104.1,271735,36.9,,50,48.1,40,33.7,31.8,36.5,34.9,44.8,41.7,39.9,36.1,-10.41336609417942,1625,9160,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Aichi,愛知県,2020,3,149,19,7537000,100.0000022949857,95.136627,93.150177,95.756004,93.842926,94.694572,96.08006795244323,91.605789,6.286555894328927,17.86899332163936,.7124149534258551,1.093930898699324,98.038757,97.512985,96.106827,93.473267,93.979988,96.029213,96.142982,93.04348,-5.75,-7.5,-9,7.25,-81,-87.5071408,-22.81122737312437,.5,-13.22647053541716,-12.4244400224935,-15.47691204999999,295965.8,288033.7000000001,238297.9000000001,19500.2,89811.29999999997,710,111303.8999999999,28066.19999999999,19.39999999999999,-718,98857.79999999996,99575.79999999996,6.699999999999997,-675.2999999999996,543990.4000000001,21166.19999999999,32566.5,11400.29999999999,565156.5999999999,545297.6999999997,405935.8000000002,139362.2999999999,137359.1,543988.9000000001,-9,-6.4,-12.6,11.4,96.3,292214,30.4,,27.8,40.8,31,29.6,26.4,21.3,31,32.7,25,33,29.7,-23.6635267399645,1961,9928,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,111.5,,,
Aichi,愛知県,2020,4,309,14,7537000,92.05101615658502,89.230301,85.162994,89.170265,85.089966,83.638145,83.49209564573115,86.687836,6.074241024768421,16.65428646884961,.7203185330528573,1.119257686841759,87.495773,87.503021,87.656082,90.844757,90.837227,88.062889,77.837524,78.164253,-20.625,-16.5,-25,8.666666666666666,-97,-99.67513719999999,-62.83226903034851,-17.4,-64.31063965911861,-47.46454155058575,-27.5735423,270444.5999999999,261863.2000000001,212292.4000000001,19489.7,83572,2668.800000000002,111726.8999999999,29096.90000000002,-29.5,-16697.29999999999,81252.8,97950.10000000005,1098.3,4640.300000000001,506010.5999999997,17794.59999999999,28128.80000000001,10334.20000000001,523805.1999999998,516907.4000000003,376127.7,140782.7000000001,132222.1000000001,498822.9000000003,-18.2,-10.7,-10.1,18.2,80.90000000000001,267922,22.5,,27.8,31.1,24.7,22.4,18.5,10.5,23.7,25.3,50,26.3,21.5,50.17910853431528,1099,4265,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,77.59999999999999,,,
Aichi,愛知県,2020,5,24,1,7537000,92.05101615658501,83.3545,79.555023,84.795792,80.915665,75.31562,78.03690884099146,83.794418,5.600710595315175,16.33317543393894,.7216671173248957,1.092529279421949,81.778992,81.785767,78.933746,87.812592,87.805313,85.899483,68.310043,62.222221,-20.25,-12.5,-20.5,7.5,-98,-99.9512478,-52.18157851279336,-31,-77.93049628714429,-52.13233639443155,-25.15997100000001,270444.5999999999,261863.2000000001,212292.4000000001,19489.7,83572,2668.800000000002,111726.8999999999,29096.90000000002,-29.5,-16697.29999999999,81252.79999999999,97950.10000000005,1098.3,4640.3,506010.5999999997,17794.59999999999,28128.80000000001,10334.20000000001,523805.1999999997,516907.4000000003,376127.6999999999,140782.7000000001,132222.1000000001,498822.9000000003,-10.5,-9.1,6.7,14.6,64.40000000000001,252017,23.8,16.7,,36.1,33.3,17.6,23.6,30,16.7,29.2,,24.1,23.8,-9.606000948078204,945,3371,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,87,,,
Aichi,愛知県,2020,6,17,0,7537000,92.05101615658502,88.093239,84.077766,90.620628,86.473961,80.920204,85.71259494503083,87.235329,5.585718351858286,17.38676439665146,.7122932516505665,1.038490954904106,89.822754,89.830193,84.807571,91.418503,91.410927,93.61335,75.938499,65.217392,-10.75,-7,-10.5,5.5,-86,-99.4395712,-26.83961405203405,-32.5,-67.51580032707672,-33.41066950708581,-41.62084125,270444.5999999999,261863.2000000001,212292.4000000001,19489.7,83572,2668.800000000002,111726.8999999999,29096.90000000002,-29.5,-16697.29999999999,81252.8,97950.10000000005,1098.3,4640.300000000001,506010.5999999997,17794.59999999999,28128.80000000001,10334.20000000001,523805.1999999998,516907.4000000003,376127.7,140782.7000000001,132222.1000000001,498822.9000000003,-1.3,-6.9,17.1,7.2,67.5,273699,27,,,35.4,33.3,20,39.4,36.7,16.7,26.7,,27.1,26.9,-21.9492211955591,1539,6800,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,91.3,,,
Aichi,愛知県,2020,7,1307,1,7537000,96.93237744116199,92.641525,88.421417,92.46489,88.577782,89.253853,89.56658709981245,87.588982,5.572496126482641,17.52218338750134,.7099586977956517,1.018857457635608,93.497086,92.71077,92.387054,91.432701,92.214813,93.531967,84.66098,83.961349,-12.25,-3,-4.5,7.483870967741935,-75,-96.90921849999999,-21.17040734345037,-31.2258064516129,-60.82043079189336,-23.43258089475118,-52.13969974193549,284840.4000000001,275696.5,226015,18576.5,83232,181.8999999999999,114127.2000000001,29389,17.89999999999999,-2683.300000000002,88357.10000000005,91040.39999999995,275.8999999999999,3849.100000000002,531806.5,18199.40000000001,28717.30000000001,10517.9,550005.9000000001,530330.6999999997,386810.0999999998,143524.7000000001,131252.7000000001,527783.0999999997,-1.3,-8.800000000000001,8,8.199999999999999,86.90000000000001,266897,31.8,,,43.1,33.3,25,39.4,30,33.3,40,,29.6,32.1,-19.48909386124896,1777,7559,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,94.2,,,
Aichi,愛知県,2020,8,2764,30,7537000,96.93237744116199,95.359642,91.015717,94.963608,90.971458,91.653374,91.56485229817132,90.378067,6.049258735939681,17.85140320213894,.7162115308742921,.9970740405234765,95.583046,94.779182,94.870811,94.344177,95.151199,94.278503,88.207771,88.4058,-15.25,-6.5,-12,1.5,-59,-94.99196430000001,-32.75752359817654,-30.25,-65.25839753211814,-36.83637624515659,-42.86673925,284840.4000000001,275696.5,226015,18576.5,83232,181.8999999999999,114127.2000000001,29389,17.89999999999999,-2683.300000000002,88357.10000000005,91040.39999999995,275.8999999999999,3849.100000000002,531806.5,18199.40000000001,28717.30000000001,10517.9,550005.9000000001,530330.6999999997,386810.0999999998,143524.7000000001,131252.7000000001,527783.0999999997,-.6,-5.9,3.7,15.3,91.5,276360,31,,,45.2,33.3,24.1,42.6,36.1,11.1,27.8,,20.4,32.4,-1.759612266176546,1437,6362,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,101.2,,,
Aichi,愛知県,2020,9,830,21,7537000,96.932377441162,96.751366,92.34404,96.152626,92.110489,95.095863,94.62876773351267,89.592216,5.674587875004677,18.0189697216827,.7149122995542069,.982758788939907,98.781418,97.950653,98.434143,93.523842,94.323845,95.81768,93.157951,94.202896,-10.625,-6,-6.5,-4.25925925925926,-155,-94.3312574,-22.63825726282995,-33.7037037037037,-53.20692635645717,-19.26390822929383,-16.26670593333334,284840.4000000001,275696.5,226015,18576.5,83232,181.9,114127.2,29389,17.89999999999999,-2683.300000000002,88357.10000000005,91040.39999999995,275.8999999999999,3849.100000000002,531806.5,18199.40000000001,28717.30000000001,10517.9,550005.9000000003,530330.6999999997,386810.0999999998,143524.7000000001,131252.7000000001,527783.0999999997,-13.8,-4.5,-32.9,-8.4,97.5,269863,31.9,,,50,33.3,26.8,33.3,41.7,16.7,26.7,,27.1,32.5,-24.22134705190724,2001,9101,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,123.6,,,
Aichi,愛知県,2020,10,864,10,7537000,98.73796208247464,98.630798,94.753258,97.502716,93.935402,98.830086,97.19437215051573,90.67643,5.651360266503691,18.37868150170398,.6914787696659604,.9769859522028375,100.88545,99.38681,101.05943,94.11998,95.560936,96.947205,97.500145,101.15942,-7,2,-.5,8.064516129032258,67,-81.5505229,-19.79619734800258,-30.70967741935484,-66.07917522330112,31.50562995718251,7.144235144516128,289370.5999999999,279973.0999999999,230242.2000000001,18562,84243.20000000003,-818.2999999999996,114961,30023.19999999998,-96.5,1692.099999999999,97786.89999999995,96094.79999999996,-145.6,4364.300000000001,542156.0999999999,19611.7,28856.19999999999,9244.6,561767.8000000003,536235.8000000003,391365.5999999998,144876.2999999999,132885.6000000001,538710.6999999997,5.4,.3,28.4,8.6,104.7,283508,34.4,,,53.7,33.3,30.3,37,36.7,16.7,25,,28.6,35.1,-17.07140024159432,1767,7716,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,99.3,,,
