prefecture,date,positive,death,mobility,gdp,population,gop,Elderly_cum_total,Elderly_cum_first,Elderly_cum_second,Medical_cum_total,Medical_cum_first,Medical_cum_second,Medical_ps_total,Medical_ps_first,Medical_ps_second,Elderly_ps_total,Elderly_ps_first,Elderly_ps_second,cum_third,ps_third,Variant_Rate,serious,ICU_NHK,all_bed,Delta_Variant_Rate,newpositive,I,R,D,severe,hospital,hotel,home,adjust,mild
Aichi,21937,1,0,,100.000005599493,7537000,102.1325,,,,,,,,,,,,,,,,0,,,,,0,0,0,0,,,,,
Aichi,21944,1,0,,99.82499342086761,7537000,101.9620714285714,,,,,,,,,,,,,,,,0,,,,,0,0,0,0,,,,,
Aichi,21951,0,0,,99.38746297430406,7537000,101.536,,,,,,,,,,,,,,,,0,,,,,0,0,0,0,,,,,
Aichi,21958,3,0,-7,99.38746297430406,7537000,101.536,,,,,,,,,,,,,,,,0,,,,,0,0,0,0,,,,,
Aichi,21965,12,0,-.75,99.38746297430406,7537000,101.536,,,,,,,,,,,,,,,,0,,,,,0,0,0,0,,,,,
Aichi,21972,15,0,-3.5,98.91497797118109,7537000,100.6218,,,,,,,,,,,,,,,,0,,,,,0,0,0,0,,,,,
Aichi,21979,48,1,-7.75,96.08006795244326,7537000,95.13660000000002,,,,,,,,,,,,,,,,0,,,,,0,0,0,0,,,,,
Aichi,21986,41,11,-4.5,96.08006795244326,7537000,95.13660000000002,,,,,,,,,,,,,,,,0,,,,,0,0,0,0,,,,,
Aichi,21993,22,4,-1.75,96.08006795244326,7537000,95.13660000000002,,,,,,,,,,,,,,,,0,,,,,111,8,16,0,,,,,
Aichi,22000,24,3,-4,96.08006795244326,7537000,95.13660000000002,,,,,,,,,,,,,,,,0,,,,,106,42,19,0,,,,,
Aichi,22007,61,1,-5.5,87.08865916193456,7537000,90.91781428571429,,,,,,,,,,,,,,,,0,,,,,159,48,20,0,,,,,
Aichi,22014,99,4,-8.75,83.49209564573108,7537000,89.23030000000001,,,,,,,,,,,,,,,,0,,,,,234,63,22,0,,,,,
Aichi,22021,82,1,-20.75,83.49209564573108,7537000,89.23030000000001,,,,,,,,,,,,,,,,0,,,,,310,66,25,0,,,,,
Aichi,22028,68,6,-27.5,83.49209564573108,7537000,89.23030000000001,,,,,,,,,,,,,,,,0,,,,,380,66,30,0,,,,,
Aichi,22035,15,3,-24.5,81.15415844369981,7537000,86.71210000000001,,,,,,,,,,,,,,,,0,,,,,383,75,34,0,,,,,
Aichi,22042,9,0,-28.25,78.03690884099147,7537000,83.35450000000002,,,,,,,,,,,,,,,,0,,,,,107,350,34,0,,,,,
Aichi,22049,8,0,-21.25,78.03690884099147,7537000,83.35450000000002,,,,,,,,,,,,,,,,2,4,28,,,63,404,34,2,,,,,
Aichi,22056,1,0,-17.75,78.03690884099147,7537000,83.35450000000002,,,,,,,,,,,,,,,,0,0,28,,,26,442,34,0,,,,,
Aichi,22063,1,0,-14,78.03690884099147,7537000,83.35450000000002,,,,,,,,,,,,,,,,0,0,28,,,13,456,34,0,,,,,
Aichi,22070,3,0,-11.5,85.7125949450308,7537000,88.09320000000001,,,,,,,,,,,,,,,,0,0,28,,,8,463,34,0,,,,,
Aichi,22077,5,0,-16.5,85.7125949450308,7537000,88.09320000000001,,,,,,,,,,,,,,,,0,0,28,,,10,467,34,0,,,,,
Aichi,22084,7,0,-8,85.7125949450308,7537000,88.09320000000001,,,,,,,,,,,,,,,,0,0,28,,,13,470,34,0,,,,,
Aichi,22091,0,0,-9.75,85.7125949450308,7537000,88.09320000000001,,,,,,,,,,,,,,,,0,0,28,,,6,477,34,0,,,,,
Aichi,22098,2,0,-11.75,88.46544648416064,7537000,91.3419857142857,,,,,,,,,,,,,,,,0,0,28,,,5,480,34,0,,,,,
Aichi,22105,6,0,-16,89.56658709981255,7537000,92.64149999999998,,,,,,,,,,,,,,,,0,0,28,,,8,483,34,0,,,,,
Aichi,22112,109,0,-15,89.56658709981255,7537000,92.64149999999998,,,,,,,,,,,,,,,,0,0,28,,,90,489,34,0,,,,,
Aichi,22119,460,1,-14.75,89.56658709981255,7537000,92.64149999999998,,,,,,,,,,,,,,,,2,0,28,,,469,506,35,2,,,,,
Aichi,22126,1073,0,-12,90.13752001362934,7537000,93.4181,,,,,,,,,,,,,,,,4,2,28,,,1190,603,35,4,,,,,
Aichi,22133,1018,2,-13,91.56485229817129,7537000,95.3596,,,,,,,,,,,,,,,,8,7,60,,,1782,1185,37,8,,,,,
Aichi,22140,607,7,-17,91.56485229817129,7537000,95.3596,,,,,,,,,,,,,,,,13,14,60,,,1488,2125,43,13,,,,,
Aichi,22147,449,13,-15.75,91.56485229817129,7537000,95.3596,,,,,,,,,,,,,,,,26,15,70,,,1117,2966,54,26,,,,,
Aichi,22154,307,8,-14.25,91.56485229817129,7537000,95.3596,,,,,,,,,,,,,,,,18,21,70,,,749,3644,64,18,,,,,
